palabra;valencia
clero;0,531
clérigo;0,594
clerical;0,52
empleado;0,5
escribanía;0,582
inteligente;0,896
astucia;0,878
hacer clic;0,536
taconeador;0,418
cliente;0,583
clientela;0,625
acantilado;0,361
climatizado;0,635
climatología;0,531
clímax;0,735
subida;0,615
trepador;0,573
clinch;0,469
adherirse;0,417
pegajoso;0,224
clínica;0,469
clínico;0,337
tintinar;0,458
acortar;0,438
portapapeles;0,594
clíper;0,293
recorte;0,46
camarilla;0,427
clítoris;0,625
capa;0,469
encubierto;0,521
guardarropa;0,69
golpear;0,396
reloj;0,677
aparato de relojería;0,49
terrón;0,375
obstruir;0,104
claustro;0,438
clon;0,406
clonación;0,216
cerca;0,292
cerrado;0,24
cercanía;0,796
armario;0,531
cierre;0,229
coágulo;0,15
tela;0,51
vestir;0,797
ropa;0,833
tendedero;0,582
ropa;0,75
nube;0,74
nublado;0,24
abundancia de nubes;0,469
nubes;0,735
nuboso;0,281
influencia;0,584
Clavo;0,439
trébol;0,605
clavos de olor;0,427
payaso;0,65
payasos;0,6
club;0,646
casa club;0,694
clubs;0,723
cloqueo;0,39
clave;0,653
despistado;0,35
grupo;0,551
torpe;0,125
ruido sordo;0,448
grupo;0,49
embrague;0,383
garras;0,542
desorden;0,135
entrenador;0,633
cochero;0,479
coagulación;0,381
carbón;0,36
juntarse;0,479
coalición;0,49
grueso;0,333
costa;0,719
costero;0,604
portavasos;0,612
línea costera;0,745
Saco;0,677
revestimiento;0,62
engatusar;0,367
cobalto;0,408
adoquín;0,448
zapatero;0,51
cobra;0,312
cocaína;0,156
polla;0,418
vergonzoso;0,45
bizco;0,459
cabina;0,52
cucaracha;0,188
hijo de puta;0,083
cóctel;0,74
engreído;0,26
cacao;0,776
Coco;0,622
capullo;0,47
bacalao;0,51
código;0,583
codeína;0,375
códice;0,531
bacalao;0,49
codificación;0,448
codificar;0,448
codificación;0,442
mixto;0,469
coeficiente;0,677
obligar;0,26
coerción;0,33
coactivo;0,479
coexistir;0,708
coexistencia;0,588
coexistiendo;0,551
café;0,823
mesa de centro;0,72
cafetería;0,694
cafetera;0,76
ataúd;0,073
diente;0,427
convincente;0,765
coñac;0,615
cognado;0,615
cognición;0,635
cognitivo;0,513
cohabitación;0,646
coherencia;0,72
coherente;0,698
cohesión;0,604
cohesivo;0,531
grupo;0,459
bobina;0,448
enroscado;0,378
moneda;0,677
coincidir;0,635
coincidencia;0,612
coincidente;0,562
coincidiendo;0,673
Coca;0,404
reajuste salarial;0,469
frío;0,398
fríamente;0,365
frialdad;0,093
sudor frío;0,427
Ensalada de col;0,707
cólico;0,135
Coliseo;0,612
colaborar;0,816
colaboración;0,885
colaborador;0,729
collage;0,68
colágeno;0,541
colapsar;0,208
cuello;0,656
clavícula;0,42
cotejar;0,438
colateral;0,531
colación;0,52
colega;0,74
recoger;0,635
recogido;0,57
recopilación;0,725
colectivo;0,583
colectivamente;0,817
coleccionista;0,552
colega;0,7
colegial;0,592
chocar;0,271
collie;0,562
colisión;0,245
colocación;0,637
coloquial;0,604
colusión;0,365
Colonia;0,677
colon;0,449
coronel;0,459
colonial;0,553
colónico;0,333
colonoscopia;0,208
colonia;0,716
colofón;0,5
color;0,786
coloración;0,541
de colores;0,806
vistoso;0,85
colorante;0,781
incoloro;0,354
colores;0,875
colosal;0,698
potro;0,561
aguileña;0,52
columna;0,48
de columna;0,448
columnista;0,646
com;0,396
coma;0,219
comatoso;0,143
peine;0,49
combate;0,302
combatiente;0,531
combativo;0,381
combinación;0,708
combinacional;0,561
combinar;0,663
conjunto;0,622
combinación;0,698
combustible;0,386
combustión;0,457
venir;0,529
regresar;0,58
cómico;0,812
comedia;0,918
cometa;0,704
comodidad;0,863
cómodo;0,927
edredón;0,618
consolador;0,906
confortable;0,93
cómic;0,917
cómico;0,844
historietas;0,69
viniendo;0,653
coma;0,344
dominio;0,427
comandante;0,622
requisar;0,552
comandante;0,531
dominante;0,562
mandamiento;0,656
comando;0,323
conmemorar;0,812
conmemoración;0,719
conmemorativo;0,75
comenzar;0,76
elogiar;0,906
recomendable;0,786
elogio;0,911
conmensurar;0,61
comentario;0,667
comentarista;0,492
comercio;0,646
comercial;0,806
comunista;0,385
comisario;0,385
comisión;0,677
notario;0,602
comprometerse;0,365
compromiso;0,714
comprometido;0,71
comité;0,592
producto;0,615
comodoro;0,427
común;0,6
plebeyo;0,448
comúnmente;0,604
vulgar;0,52
los comunes;0,633
mancomunidad;0,63
conmoción;0,49
comunal;0,592
comuna;0,5
comunicable;0,796
comunicar;0,823
comunicación;0,837
comunicativo;0,847
comunicador;0,573
comunión;0,765
comunismo;0,264
comunista;0,265
comunidad;0,75
conmutación;0,469
conmutativo;0,667
viajar diariamente;0,622
viajero diario al trabajo;0,646
borrador;0,573
compacto;0,458
compactación;0,531
compacidad;0,582
compañero;0,77
sin compañía;0,271
compañerismo;0,833
empresa;0,906
comparable;0,562
comparativo;0,47
relativamente;0,604
comparar;0,552
comparación;0,583
compartimiento;0,5
Brújula;0,541
compasión;0,735
compasivo;0,857
compatibilidad;0,816
compatible;0,892
obligar;0,2
obligado;0,333
convincente;0,698
compendio;0,61
compensar;0,612
compensación;0,775
compensatorio;0,589
competir;0,573
competencia;0,615
competente;0,865
competencia;0,58
competitivo;0,447
competidor;0,612
Compilacion;0,53
compilar;0,6
complacencia;0,604
suficiente;0,625
quejarse;0,143
queja;0,143
complementar;0,76
complementario;0,714
completo;0,75
terminado;0,823
completamente;0,73
lo completo;0,823
completando;0,614
terminación;0,656
complejo;0,388
acomplejado;0,312
tez;0,521
complejidad;0,479
cumplimiento;0,75
obediente;0,677
complicar;0,21
Complicado;0,211
complicación;0,365
complicidad;0,323
cumplido;0,82
Complementario;0,823
cumplir;0,806
cumpliendo;0,729
composición;0,5
componente;0,531
componer;0,639
compuesto;0,684
compositor;0,822
compuesto;0,591
composición;0,765
compost;0,48
calma;0,802
compuesto;0,635
comprender;0,875
comprensión;0,908
integral;0,796
comprimir;0,406
comprimido;0,323
compresible;0,622
compresión;0,646
compresor;0,418
comprender;0,839
compromiso;0,677
contralor;0,402
compulsión;0,118
compulsivo;0,347
obligatorio;0,343
calculable;0,57
cálculo;0,583
calcular;0,531
computadora;0,802
computerizado;0,677
informática;0,745
camarada;0,781
estafa;0,255
concatenación;0,48
cóncavo;0,441
encubrir;0,312
ocultado;0,344
ocultación;0,302
conceder;0,67
presunción;0,354
engreído;0,194
concebible;0,73
concebir;0,708
concentrarse;0,75
concentración;0,735
concéntrico;0,73
concepto;0,573
concepción;0,694
inquietud;0,25
preocupado;0,292
concierto;0,938
concesión;0,588
concesional;0,77
concha;0,583
conserje;0,48
conciliación;0,792
conciso;0,583
cónclave;0,573
concluir;0,53
concluyendo;0,531
conclusión;0,615
concluyente;0,5
mezcla;0,448
concomitante;0,427
concordia;0,677
concordancia;0,625
concurso;0,5
concreto;0,633
concubina;0,388
concurrir;0,459
concurrencia;0,764
concurrente;0,573
coincidiendo;0,573
concusión;0,072
condenar;0,102
condenación;0,133
condensación;0,51
condensado;0,598
condescendiente;0,583
condescendencia;0,521
condimento;0,52
condición;0,5
condicional;0,521
condicionalmente;0,396
acondicionado;0,49
acondicionador;0,781
acondicionamiento;0,44
condiciones;0,551
condominio;0,439
condolencia;0,26
condolencias;0,198
condón;0,406
condonar;0,571
cóndor;0,573
conducente;0,775
conducta;0,453
conducción;0,53
conductividad;0,583
conductor;0,677
conducto;0,47
cono;0,417
confederación;0,59
confederado;0,551
confederación;0,663
conferir;0,573
conferencia;0,688
confesar;0,36
confesión;0,469
confesional;0,458
confesiones;0,325
papel picado;0,781
confidente;0,837
confiar;0,669
confianza;0,959
confidente;0,765
confidencial;0,643
confidencialidad;0,667
confidencialmente;0,633
configuración;0,54
confinar;0,327
confinado;0,286
confinamiento;0,333
fronteras;0,396
confirmar;0,802
confirmación;0,812
confirmatorio;0,656
confirmado;0,76
confiscar;0,25
confiscación;0,208
conflagración;0,344
conflicto;0,335
contradictorio;0,173
confluencia;0,677
ajustarse;0,479
conformidad;0,608
conformación;0,622
conformidad;0,645
confundir;0,347
aturdido;0,333
confrontar;0,281
confrontación;0,177
confundir;0,1
confundido;0,22
confuso;0,229
confusión;0,255
congas;0,469
agradable;0,82
congénito;0,448
congestión;0,271
conglomerado;0,5
conglomeración;0,541
felicitaciones;0,93
felicitar;0,927
felicidades;0,948
congratulatorio;0,959
congregarse;0,653
congregación;0,561
congreso;0,449
del congreso;0,552
congresista;0,438
congruencia;0,656
cónico;0,51
conjetura;0,396
conyugal;0,698
conjugado;0,583
conjugación;0,479
conjunción;0,52
conjuntivo;0,487
conjurar;0,385
prestidigitación;0,224
narigón;0,34
conectar;0,724
conectado;0,816
conexión;0,729
conectivo;0,719
conocedor;0,76
conquistar;0,694
conquistador;0,76
conquista;0,71
conciencia;0,663
concienzudo;0,688
consciente;0,74
conciencia;0,84
reclutamiento;0,396
consagrado;0,663
consagración;0,771
consecutivo;0,663
consensual;0,663
consenso;0,627
consentir;0,75
consintiendo;0,727
consecuencia;0,24
consiguiente;0,663
conservación;0,832
conservatismo;0,406
conservador;0,615
conservatorio;0,635
conservar;0,69
considerar;0,677
considerable;0,653
considerado;0,781
consideración;0,589
consignatario;0,635
envío;0,49
consistir;0,823
consistencia;0,714
coherente;0,786
consuelo;0,408
consola;0,625
consolado;0,7
consolidar;0,88
consolidado;0,7
consolidación;0,604
consonante;0,5
consorte;0,632
conspicuo;0,479
conspiración;0,125
conspirador;0,271
conspirar;0,206
alguacil;0,573
constancia;0,786
constante;0,74
constantemente;0,663
constelación;0,719
consternación;0,167
estreñimiento;0,079
distrito electoral;0,5
Constitucion;0,573
constituyentes;0,573
constituir;0,812
constitución;0,59
constitucional;0,633
constitucionalidad;0,612
constreñir;0,261
constreñido;0,135
restricción;0,323
construir;0,75
construcción;0,848
constructivo;0,86
interpretar;0,602
cónsul;0,573
consulado;0,561
consultar;0,755
consultor;0,77
consulta;0,66
consumir;0,427
consumidor;0,507
consumar;0,551
consumo;0,583
contacto;0,719
contagio;0,208
contagioso;0,184
contener;0,542
envase;0,551
contención;0,411
contaminar;0,14
contaminado;0,04
contaminación;0,125
contemplar;0,74
contemplación;0,552
contemplativo;0,729
contemporáneo;0,64
desprecio;0,206
despreciable;0,146
desdeñoso;0,204
contender;0,51
contendiente;0,48
contenido;0,764
contento;0,857
contención;0,375
contencioso;0,422
contentamiento;0,875
contenido;0,656
concurso;0,667
concursante;0,76
contexto;0,531
contiguo;0,375
continencia;0,45
continente;0,551
continental;0,486
contingencia;0,396
contingente;0,47
continuo;0,5
continuamente;0,646
continuación;0,729
Seguir;0,63
continuado;0,635
continuo;0,667
continuidad;0,781
continuo;0,625
continuamente;0,719
continuo;0,677
contorno;0,589
contrabando;0,177
anticoncepción;0,296
contrato;0,594
contratado;0,344
contractible;0,48
contratación;0,594
contracción;0,292
contratista;0,592
contradecir;0,16
contradicción;0,25
contradictorio;0,365
artilugio;0,448
contrario;0,327
contraste;0,48
contrastado;0,521
infringir;0,357
contravención;0,344
contribuir;0,806
contribución;0,854
contribuyente;0,844
contrito;0,347
arrepentimiento;0,347
artificial;0,408
control;0,729
controlador;0,469
controversial;0,271
controversia;0,25
contusión;0,167
adivinanza;0,354
convaleciente;0,458
convección;0,521
convocar;0,583
conveniencia;0,781
conveniencias;0,802
conveniente;0,846
convento;0,48
convención;0,622
convencional;0,594
converger;0,635
convergencia;0,551
convergente;0,781
versado en;0,724
conversación;0,75
conversacional;0,719
conversador;0,719
conversar;0,594
conversando;0,755
conversión;0,48
convertir;0,551
convertido;0,663
convertible;0,542
convexo;0,438
convexidad;0,449
transmitir;0,719
transporte;0,615
condenar;0,177
convicción;0,615
convencer;0,708
convencido;0,75
Convincente;0,76
convocación;0,538
complejo;0,323
circunvolución;0,417
convoy;0,5
arrullo;0,49
cocinero;0,847
libro de cocina;0,602
Horno;0,592
cocina;0,633
Galleta;0,792
galletas;0,823
Cocinando;0,694
comida al aire libre;0,68
Frío;0,885
refrigerante;0,72
enfriador;0,664
enfriamiento;0,469
frescura;0,49
mapache;0,49
cooperativa;0,612
cooperar;0,898
cooperando;0,76
cooperación;0,847
cooperativa;0,816
coordinar;0,698
coordinación;0,677
coordinador;0,75
policía;0,327
copacetico;0,51
afrontar;0,592
copiador;0,459
copiloto;0,64
albardilla;0,562
copioso;0,427
cobre;0,58
helicóptero;0,571
Copiar;0,46
imitador;0,449
proceso de copiar;0,448
derechos de autor;0,458
coral;0,802
serpiente de coral;0,276
cable;0,388
cordial;0,823
sin cable;0,667
cordón;0,469
pana;0,57
centro;0,721
corcho;0,347
sacacorchos;0,427
maíz;0,594
bola de maíz;0,479
pan de maíz;0,643
córnea;0,521
acecinado;0,459
esquina;0,4
piedra angular;0,55
cucurucho;0,507
maizal;0,719
copos de maíz;0,729
cornisa;0,458
maicena;0,643
cursi;0,448
corolario;0,458
corona;0,818
coronario;0,567
coronación;0,792
juez de instrucción;0,323
corporal;0,582
corporativo;0,592
corporación;0,429
corpóreo;0,52
cuerpo;0,551
cadáver;0,094
ayudante médico;0,439
cuerpo;0,543
corral;0,606
correcto;0,857
corrección;0,448
correccional;0,292
correctivo;0,448
exactitud;0,796
correlación;0,596
correlativo;0,51
corresponder;0,71
correspondencia;0,663
corresponsal;0,573
correspondiente;0,74
corredor;0,604
corroborar;0,671
corroboración;0,625
corrosión;0,156
corrosivo;0,14
corrupto;0,02
corrompiendo;0,062
corrupción;0,052
cuerpo;0,51
corso;0,448
corsé;0,49
corteza;0,594
cortical;0,38
cortisona;0,427
corbeta;0,551
cosmético;0,625
productos cosméticos;0,765
cósmico;0,663
cosmología;0,651
cosmopolita;0,823
cosmos;0,86
costo;0,365
costoso;0,316
disfraz;0,548
acogedor;0,847
cuna;0,625
redil;0,439
cabaña;0,6
algodón;0,639
sofá;0,594
Puma;0,438
tos;0,255
Consejo;0,875
concejal;0,531
consejo;0,594
asesoramiento;0,667
consejero;0,823
contar;0,594
cuenta regresiva;0,438
rostro;0,635
encimera;0,439
contrarrestar;0,378
contraataque;0,281
contrapeso;0,52
reconvención;0,398
falsificación;0,094
contrapartida;0,448
contrapunto;0,438
condesa;0,562
incontable;0,52
país;0,698
compatriota;0,673
la música country;0,795
campo;0,732
cuenta;0,343
condado;0,479
golpe;0,275
cupé;0,479
pareja;0,806
acoplado;0,612
acoplamiento;0,594
cupón;0,704
coraje;0,83
valiente;0,918
mensajero;0,551
cursos;0,735
caza de liebres;0,542
tribunal;0,479
cortés;0,937
cortesía;0,927
palacio de justicia;0,571
sala de justicia;0,385
tribunales;0,367
noviazgo;0,667
junto a la cancha;0,592
patio;0,503
primo;0,675
primos;0,76
ensenada;0,5
asamblea de brujas;0,458
pacto;0,594
cubrir;0,365
cobertura;0,767
cubierto;0,562
cubierta;0,615
encubierto;0,5
codiciar;0,302
codiciado;0,661
vaca;0,449
cobarde;0,102
cobardía;0,133
cobardemente;0,102
vaquero;0,594
vaquera;0,541
vaquero;0,438
cuero;0,458
capucha;0,427
compañero de trabajo;0,667
tímido;0,347
coyote;0,459
acogedor;0,91
cangrejo;0,421
osco;0,198
grieta;0,302
agrietado;0,224
galleta;0,604
campeón;0,567
agrietamiento;0,327
crepitar;0,327
chiflado;0,26
cuna;0,776
artesanía;0,76
artesano;0,719
artesanía;0,823
astuto;0,589
craig;0,448
atestar;0,354
abarrotado;0,406
calambre;0,194
estrecho;0,24
arándano;0,793
jugo de arándano;0,622
grua;0,396
craneal;0,354
cráneo;0,439
manivela;0,448
de maniático;0,194
grieta;0,194
tonterías;0,083
de mierda;0,039
dados;0,375
choque;0,194
craso;0,223
caja;0,427
cráter;0,45
pedir;0,625
antojo;0,51
cangrejo de río;0,51
gatear;0,479
lápiz de color;0,604
lápices de color;0,684
manía;0,255
loco;0,153
locura;0,238
loca;0,156
crujir;0,344
crujiente;0,302
crema;0,688
desnatadora;0,594
cremoso;0,823
pliegue;0,44
crear;0,786
creación;0,927
creativo;0,917
creatividad;0,938
creador;0,865
criatura;0,669
crédito;0,76
credencial;0,735
cartas credenciales;0,708
credibilidad;0,875
creíble;0,917
crédito;0,673
tarjeta de crédito;0,67
loable;0,802
acreditado;0,781
acreditando;0,673
acreedor;0,479
credo;0,573
Riachuelo;0,552
arrastrarse;0,354
enredadera;0,429
progresivo;0,292
Siniestro;0,125
cremación;0,084
criollo;0,667
crepe;0,562
crescendo;0,76
creciente;0,698
cresta;0,458
cabizbajo;0,235
cretino;0,265
cretinos;0,094
hendedura;0,361
tripulación;0,604
tripulante;0,602
cuna;0,653
Grillo;0,423
llorado;0,167
delito;0,071
delincuente;0,021
criminalidad;0,122
rizar;0,26
carmesí;0,667
morir de vergüenza;0,245
lisiado;0,094
herida;0,156
crisis;0,208
crujiente;0,776
criterio;0,396
crítico;0,264
criticar;0,073
crítica;0,115
criticar;0,143
criticado;0,24
crítica;0,302
bicho;0,542
croar;0,337
cocodrilo;0,327
vasija;0,385
vajilla;0,552
cocodrilo;0,344
granja pequeña;0,531
cuerno;0,745
ladrón;0,171
torcido;0,146
cultivo;0,615
juego de croquet;0,551
cruz;0,448
a campo traviesa;0,531
ballesta;0,344
cruzado;0,431
fuego cruzado;0,316
cruce;0,549
Transversal;0,559
paso de peatones;0,557
crucigrama;0,611
entrepierna;0,521
agacharse;0,281
agachado;0,333
agazapado;0,261
crupier;0,531
cuervo;0,224
palanca;0,406
multitud;0,35
atestado;0,694
multitudes;0,469
corona;0,708
coronamiento;0,773
crucial;0,541
cruzado;0,429
crucifijo;0,469
crucifixión;0,135
crucificar;0,146
basura;0,312
crudo;0,198
cruel;0,122
con crueldad;0,146
crueldad;0,092
crucero;0,74
miga;0,417
desmoronarse;0,333
desmoronándose;0,167
sucio;0,125
crujido;0,292
crujiente;0,625
cruzada;0,592
cruzado;0,439
Persona especial;0,271
aplastada;0,167
trituradora;0,271
aplastante;0,219
corteza;0,542
crujiente;0,625
muleta;0,302
quid;0,469
llorar;0,133
llorón;0,375
llorando;0,153
cripta;0,156
críptico;0,296
criptografía;0,49
cristal;0,618
cristalino;0,765
cristalización;0,6
cachorro;0,646
compartimento;0,354
cubo;0,469
cúbico;0,458
cubículo;0,479
cornudo;0,21
cuco;0,42
pepino;0,49
abrazo;0,885
abrazado;0,906
mimos;0,847
caricias;0,917
señal;0,521
brazalete;0,469
cocina;0,714
culinario;0,654
desecho;0,365
culminar;0,667
culminación;0,656
culpabilidad;0,112
culpable;0,14
culto;0,448
cultivar;0,708
cultivado;0,837
cultivo;0,625
cultural;0,802
cultura;0,753
culto;0,635
alcantarilla;0,337
incómodo;0,259
cúmulo;0,57
astucia;0,604
coño;0,135
taza;0,615
alacena;0,553
magdalena;0,656
utilización de tazas;0,49
canalla;0,44
curable;0,823
cura;0,726
curativo;0,667
curador;0,688
frenar;0,472
Cuajada;0,542
curar;0,719
toque de queda;0,219
curiosidad;0,75
curioso;0,635
rizo;0,385
curling;0,583
divisa;0,583
Actual;0,625
plan de estudios;0,708
curry;0,633
maldición;0,033
maldito;0,083
maldiciendo;0,112
superficial;0,423
brusco;0,245
acortar;0,306
reducción;0,23
cortina;0,698
cortinas;0,615
reverencia;0,635
curvatura;0,417
curva;0,48
curvo;0,542
con línea no recta;0,48
almohadón;0,653
fácil;0,823
cúspide;0,667
tipo de;0,354
terco;0,156
lactoso;0,618
custodia;0,418
custodio;0,594
custodia;0,494
disfraz;0,552
acostumbrado;0,7
cliente;0,562
personalizado;0,625
Corte;0,49
cutáneo;0,365
lindo;0,92
cutícula;0,34
chica;0,638
chafarote;0,173
cuchillería;0,552
cortar;0,432
cortador;0,427
cortadores;0,197
asesino;0,11
corte;0,448
tabla de cortar;0,337
esquejes;0,479
cwt;0,5
cianuro;0,229
ciberespacio;0,677
ciclo;0,635
cíclico;0,38
ciclista;0,684
ciclón;0,416
cilindro;0,459
cilíndrico;0,458
platillo;0,542
cínico;0,135
cinismo;0,104
quiste;0,173
cístico;0,314
citomegalovirus;0,186
citoplasma;0,378
zar;0,48
lenguado;0,51
salpicar;0,55
chapoteando;0,562
papá;0,857
papi;0,795
friso;0,51
demonio;0,333
loco;0,255
daga;0,224
diariamente;0,653
delicado;0,604
daiquirí;0,67
lácteos;0,633
margarita;0,562
Dak;0,51
valle;0,622
presa;0,25
daño;0,059
dañado;0,104
daños y perjuicios;0,082
dama;0,694
maldita sea;0,073
condenación;0,135
maldito;0,1
húmedo;0,36
humedecido;0,271
apagador;0,459
damisela;0,719
baile;0,894
bailarín;0,74
bailando;0,885
caspa;0,398
dandy;0,673
peligro;0,115
peligroso;0,02
peligrosamente;0,082
maldita sea;0,396
colgar;0,362
húmedo;0,39
apuesto;0,77
atrevimiento;0,677
temerario;0,429
dicho atrevido;0,54
atrevido;0,583
oscuro;0,198
oscurecer;0,25
oscurecido;0,135
misteriosamente;0,219
oscuridad;0,102
cuarto oscuro;0,188
lado oscuro;0,102
querida;0,885
maldito;0,115
dardo;0,417
estrellarse;0,574
tablero;0,51
punteado;0,276
apuesto;0,612
ruin;0,208
datos;0,5
base de datos;0,604
fecha;0,604
noche de cita;0,708
hija;0,908
holgazanear;0,479
amanecer;0,827
amaneció;0,694
día;0,719
Alba;0,802
guardería;0,776
ensueño;0,75
soñador;0,776
luz;0,865
Día hecho;0,646
día libre;0,76
tiempo de día;0,75
aturdimiento;0,245
aturdido;0,3
deslumbrar;0,73
deslumbrante;0,854
diácono;0,531
desactivar;0,235
muerto;0,052
perezoso;0,229
plazo;0,214
plazos;0,406
punto muerto;0,17
mortal;0,143
ensordecedor;0,281
sordera;0,125
acuerdo;0,719
distribuidor;0,799
concesión;0,541
relación comercial;0,724
transacciones;0,6
decano;0,612
Estimado;0,88
querido;0,902
escasez;0,156
muerte;0,031
lecho de muerte;0,051
mortal;0,073
debacle;0,156
degradado;0,219
discutible;0,181
debate;0,408
libertinaje;0,354
obligación;0,417
debilitante;0,125
débito;0,333
interrogar;0,247
interrogación;0,427
escombros;0,135
deuda;0,204
deudor;0,219
debut;0,806
debutante;0,771
década;0,531
decadencia;0,237
decadente;0,29
descafeinado;0,48
licorera;0,438
decatlón;0,573
decadencia;0,143
decaido;0,017
decadencia;0,073
fallecido;0,021
hombre muerto;0,423
engaño;0,02
engañoso;0,071
engañar;0,094
engañado;0,059
engañoso;0,099
diciembre;0,74
decencia;0,75
decente;0,823
engaño;0,09
engañoso;0,027
decidir;0,656
decididamente;0,75
caduco;0,385
decimal;0,507
decímetro;0,52
descifrar;0,417
decisión;0,646
decisivo;0,74
plataforma;0,42
declaración;0,551
declaratorio;0,635
declarar;0,677
declinación;0,25
rechazar;0,173
declinante;0,328
decoración;0,625
descodificar;0,551
descifrador;0,562
descomponer;0,194
descompuesto;0,073
descomposición;0,133
descomprimir;0,438
descompresión;0,208
descontaminación;0,611
decoración;0,734
Decorar;0,954
decorando;0,863
decoración;0,878
decorativo;0,908
decorador;0,84
decoro;0,802
señuelo;0,149
disminuir;0,125
disminuido;0,224
decreciente;0,32
decreto;0,552
decremento;0,255
decrépito;0,156
desacreditar;0,4
descifrado;0,459
dedicar;0,823
dedicación;0,867
deducir;0,49
deducible;0,375
deducción;0,438
escritura;0,52
DJ;0,551
considerar;0,594
profundo;0,49
profundizar;0,625
ciervo;0,583
difamación;0,11
difamatorio;0,143
defecto;0,459
vencer;0,092
derrotado;0,104
derrotista;0,163
defecto;0,135
deserción;0,146
defectuoso;0,122
desertor;0,163
defender;0,698
acusado;0,25
defendido;0,663
defensor;0,639
defendiendo;0,604
defensa;0,652
indefenso;0,143
defendible;0,74
defensivo;0,542
aplazar;0,245
deferencia;0,51
aplazamiento;0,765
aplazando;0,343
desafío;0,333
desafiante;0,25
desfibrilador;0,398
deficiencia;0,073
deficiente;0,24
déficit;0,358
definir;0,688
definido;0,67
definición;0,573
definitivo;0,583
desinflar;0,148
deflación;0,287
cambiar;0,133
desviación;0,188
desfloración;0,188
deformar;0,112
deformado;0,198
deformidad;0,16
defraudar;0,175
sufragar;0,375
descongelar;0,427
hábil;0,719
difunto;0,112
desactivar;0,167
desafiar;0,353
degeneración;0,143
degenerar;0,069
degeneración;0,245
degradación;0,16
degradar;0,083
degradado;0,167
degradante;0,031
la licenciatura;0,724
deshidratado;0,31
deshidración;0,188
abatido;0,104
demora;0,204
demorado;0,188
delicioso;0,781
delegar;0,612
delegación;0,562
Eliminar;0,292
perjudicial;0,297
supresión;0,062
fiambres;0,561
adrede;0,551
deliberación;0,561
deliberativo;0,392
delicadeza;0,812
delicado;0,583
Tiendas Delicatessen;0,656
delicioso;0,927
deleitar;0,949
contento;0,938
encantador;0,918
delinear;0,448
delineación;0,521
delincuencia;0,135
delincuente;0,051
delirante;0,219
delirio;0,233
entregar;0,583
liberación;0,75
entrega;0,704
dell;0,458
delta;0,551
engañar;0,143
diluvio;0,245
engaño;0,344
delirante;0,219
de lujo;0,792
ahondar;0,469
pedir;0,292
demandante;0,396
degradado;0,271
degradante;0,104
comportamiento;0,633
demente;0,088
demencia;0,092
fallecimiento;0,104
manifestación;0,51
la democracia;0,68
demócrata;0,582
democrático;0,802
demográfico;0,459
demoler;0,125
demolido;0,271
demolición;0,133
demonio;0,037
demoníaco;0,146
demostrable;0,735
demostrar;0,771
demostrado;0,617
demostrando;0,698
demostración;0,551
demostrativo;0,656
demostrador;0,52
desmoralizado;0,082
población;0,418
recatado;0,69
guarida;0,51
negación;0,23
denegado;0,188
mezclilla;0,52
denominación;0,49
confesional;0,458
denominador;0,45
denotar;0,448
denunciar;0,083
denso;0,354
densidad;0,602
mella;0,306
dental;0,573
dentista;0,479
odontología;0,429
dentistas;0,364
denuncia;0,146
negar;0,316
negando;0,08
desodorante;0,48
salir;0,398
salido;0,245
Departamento;0,708
departamental;0,612
partida;0,573
depender;0,388
confiable;0,88
dependiente;0,357
dependencia;0,25
dependiente;0,354
representar;0,663
representando;0,49
agotamiento;0,153
deplorable;0,135
deplorar;0,135
desplegar;0,5
despliegue;0,51
deportar;0,167
deportación;0,104
deponer;0,286
depósito;0,54
depositario;0,604
declaración;0,394
depositario;0,551
deposito;0,635
depravado;0,031
depravación;0,115
depreciar;0,27
depreciado;0,135
depreciación;0,143
deprimir;0,219
deprimido;0,024
deprimente;0,146
depresión;0,031
depresivo;0,143
depresión;0,135
privación;0,194
privar;0,271
privado;0,354
profundidad;0,708
diputado;0,429
hacer descarrilar;0,108
trastornado;0,376
abandonado;0,208
burla;0,265
derivación;0,521
derivado;0,541
derivar;0,396
dérmico;0,385
dermatólogo;0,531
dermatología;0,422
humillación;0,208
despectivo;0,122
descender;0,385
descendiente;0,684
descendiendo;0,219
descendencia;0,3
describir;0,542
descripción;0,582
descriptivo;0,667
profanar;0,255
profanación;0,125
Desierto;0,469
abandonado;0,156
desertor;0,122
deserción;0,122
merecer;0,802
merecido;0,781
digno;0,802
diseño;0,796
designado;0,531
designacion;0,612
diseñado;0,745
diseñador;0,875
diseño;0,792
atractivo;0,684
deseable;0,74
deseo;0,896
deseando;0,814
deseoso;0,719
abstenerse;0,22
escritorio;0,51
solitario;0,104
soledad;0,073
desesperación;0,115
desesperado;0,073
envío;0,448
forajido;0,26
desesperado;0,083
desesperación;0,125
despreciable;0,146
despreciar;0,167
abatido;0,133
despótico;0,141
despotismo;0,255
postre;0,755
destino;0,708
destinado;0,698
destino;0,781
indigente;0,13
destruir;0,046
destruido;0,031
destructor;0,083
destruyendo;0,041
destruir;0,071
destrucción;0,102
destructivo;0,177
despegar;0,357
separado;0,28
desapego;0,243
detalle;0,514
detallado;0,603
detalles;0,583
detener;0,351
detenido;0,306
detectar;0,531
detectable;0,479
detección;0,708
detective;0,5
detector;0,459
detención;0,265
desalentar;0,344
detergente;0,458
deteriorarse;0,083
deteriorado;0,053
