palabra;valencia;pals
bienvenir;2;
bienveno;2;
bloquea;-1;
bloqueaba;-1;
bloqueada;-1;
bloqueadas;-1;
bloqueado;-1;
bloqueados;-1;
bloqueamos;-1;
bloquean;-1;
bloqueando;-1;
bloquear;-1;
bloqueares;-1;
bloqueas;-1;
bloqueé;-1;
bloqueo;-1;
bloqueó;-1;
bloqueos;-1;
bloques;-1;
bloqueses;-1;
boicotea;-2;
boicoteaba;-2;
boicoteada;-2;
boicoteadas;-2;
boicoteado;-2;
boicoteados;-2;
boicoteamos;-2;
boicotean;-2;
boicoteanda;-2;
boicoteandas;-2;
boicoteando;-2;
boicoteandos;-2;
boicotear;-2;
boicoteares;-2;
boicoteas;-2;
boicoteé;-2;
boicoteo;-2;
boicoteó;-2;
boicots;-2;
boicotses;-2;
bomba;-1;
bombas;-1;
bombo;-1;
bombos;-1;
bondad;3;
bondades;3;
bonita;1;
bonitas;1;
bonito;3;
bonitos;1;
borra;1;
borracha;-2;
borrachas;-2;
borracho;-2;
borrachos;-2;
borras;1;
borro;1;
borros;1;
borrosa;-2;
borrosas;-2;
borroso;-2;
borrosos;-2;
boyante;2;
boyantes;2;
brilla;3;
brillaba;3;
brillada;3;
brilladas;3;
brillado;3;
brillados;3;
brillamos;3;
brillan;3;
brillando;3;
brillante;1;
brillantes;1;
brillar;3;
brillares;3;
brillas;3;
brillé;3;
brillo;1;
brilló;3;
brillos;1;
broma;2;
bromas;2;
bromo;2;
bromos;2;
bruta;-2;
brutas;-2;
bruto;-2;
brutos;-2;
buena;3;
buenas;3;
bueno;3;
buenos;3;
buque insignia;2;
burea;-2;
bureaba;-2;
bureada;-2;
bureadas;-2;
bureado;-2;
bureados;-2;
bureamos;-2;
burean;-2;
bureando;-2;
burear;-2;
bureas;-2;
bureé;-2;
bureo;-2;
bureó;-2;
burla;-2;
burlaba;-2;
burlada;-2;
burladas;-2;
burlado;-2;
burlados;-2;
burlamos;-2;
burlan;-2;
burlando;-2;
burlar;-2;
burlarse de;-2;
burlas;-2;
burlé;-2;
burlo;-2;
burló;-2;
burlón;-2;
burlónes;-2;
burlos;-2;
burra;-4;
burras;-4;
burro;-4;
burros;-4;
cabezas de turco;-2;
cabildea;-2;
cabildeas;-2;
cabildeo;-2;
cabildeos;-2;
cabizbaja;-2;
cabizbajas;-2;
cabizbajo;-2;
cabizbajos;-2;
Cabron;-4;
Cabrón;-3;
cabrones;-4;
cabrónes;-3;
cadáve;-1;
cadávemos;-1;
cadáven;-1;
cadáver;-1;
cadáveres;-1;
cadáves;-1;
cadáví;-1;
cadávía;-1;
cadávida;-1;
cadávidas;-1;
cadávido;-1;
cadávidos;-1;
cadáviendo;-1;
cadávió;-1;
cadávir;-1;
cadávo;-1;
caga;-3;
cagaba;-3;
cagada;-3;
cagadas;-3;
cagado;-3;
cagados;-3;
cagamos;-3;
cagan;-3;
cagando;-3;
cagar;-3;
cagas;-3;
cagé;-3;
cago;-3;
cagó;-3;
caída;-2;
caídas;-2;
caído;-2;
caído en desgracia;-2;
caídos;-2;
calambre;-1;
calambres;-1;
calenta;1;
calentaba;1;
calentada;1;
calentadas;1;
calentado;1;
calentados;1;
calentamos;1;
calentan;1;
calentando;1;
calentar;1;
calentares;1;
calentas;1;
calenté;1;
calento;1;
calentó;1;
calma;2;
calmaba;2;
calmada;2;
calmadas;2;
calmado;2;
calmados;2;
calmamos;2;
calman;2;
calmando;2;
calmante;2;
calmantes;2;
calmar;3;
calmares;3;
calmas;2;
calmé;2;
calmo;2;
calmó;2;
calmos;2;
calor;2;
calores;2;
cánce;-1;
cancela;-1;
cancelaba;-1;
cancelada;-1;
canceladas;-1;
cancelado;-1;
cancelados;-1;
cancelamos;-1;
cancelan;-1;
cancelando;-1;
cancelar;-1;
cancelares;-1;
cancelas;-1;
cancelé;-1;
cancelo;-1;
canceló;-1;
cancelos;-1;
cáncemos;-1;
cáncen;-1;
cáncer;-1;
cánceres;-1;
cánces;-1;
cáncí;-1;
cáncía;-1;
cáncida;-1;
cáncidas;-1;
cáncido;-1;
cáncidos;-1;
cánciendo;-1;
cánció;-1;
cáncir;-1;
cánco;-1;
candidez;-2;
candidezes;-2;
cansa;-2;
cansaba;-2;
cansada;-2;
cansadas;-2;
cansado;-2;
cansados;-2;
cansamos;-2;
cansan;-2;
cansando;-2;
cansar;-2;
cansas;-2;
cansé;-2;
canso;-2;
cansó;-2;
caos;-2;
caoses;-2;
caótica;-2;
caóticas;-2;
caótico;-2;
caóticos;-2;
capacidad;2;
capacidades;2;
capaz;1;
capazes;1;
caprichosa;1;
caprichosas;1;
caprichoso;1;
caprichosos;1;
cara;3;
caras;3;
carcajadas;-2;
carcajadases;-2;
carga;-2;
cargaba;-3;
cargada;-3;
cargadas;-3;
cargado;-3;
cargados;-3;
cargamos;-3;
cargan;-3;
cargando;-3;
cargar;-3;
cargas;-2;
cargases;-2;
cargé;-3;
cargo;-2;
cargó;-3;
cargos;-2;
cargoses;-2;
cariña;2;
cariñas;2;
cariño;2;
cariños;2;
cariñosa;3;
cariñosas;3;
cariñoso;3;
cariñosos;3;
caro;3;
caros;3;
Caso omiso;-2;
castiga;-3;
castigaba;-3;
castigada;-3;
castigadas;-3;
castigado;-3;
castigadora;-3;
castigadoras;-3;
castigadoro;-3;
castigadoros;-3;
castigados;-3;
castigamos;-3;
castigan;-3;
castigando;-3;
castigar;-3;
castigares;-3;
castigas;-3;
castigé;-3;
castigo;-3;
castigó;-3;
castigos;-3;
catástrofe;-3;
catástrofes;-3;
catastrófica;-4;
catastróficas;-4;
catastrófico;-4;
catastróficos;-4;
cautelosa;-1;
cautelosas;-1;
cauteloso;-1;
cautelosos;-1;
cautiva;3;
cautivaba;3;
cautivada;3;
cautivadas;3;
cautivado;3;
cautivados;3;
cautivamos;3;
cautivan;3;
cautivando;3;
cautivar;3;
cautivares;3;
cautivas;3;
cautivé;3;
cautivo;3;
cautivó;3;
celebra;3;
celebraba;3;
celebrada;3;
celebradas;3;
celebrado;3;
celebrados;3;
celebramos;3;
celebran;3;
celebranda;3;
celebrandas;3;
celebrando;3;
celebrandos;3;
celebrar;3;
celebrares;3;
celebras;3;
celebré;3;
celebro;3;
celebró;3;
celebros;3;
celestial;4;
celestiales;4;
celos;-1;
celosa;-2;
celosas;-2;
celoses;-1;
celoso;-2;
celosos;-2;
censores;-2;
censoreses;-2;
censura;-2;
censuraba;-2;
censurada;-2;
censuradas;-2;
censurado;-2;
censurados;-2;
censuramos;-2;
censuran;-2;
censurando;-2;
censurar;-2;
censurares;-2;
censuras;-2;
censuré;-2;
censuro;-2;
censuró;-2;
ceñuda;-1;
ceñudas;-1;
ceñudo;-1;
ceñudos;-1;
cernía;-1;
cernías;-1;
cernío;-1;
cerníos;-1;
cerveza negra;2;
chagrined;-2;
chagrinedes;-2;
chiflado por;2;
chispa;1;
chispas;1;
chispo;1;
chispos;1;
chistes;2;
chisteses;2;
chistosa;2;
chistosas;2;
chistoso;2;
chistosos;2;
chivo expiatorio;-2;
choca;-1;
chocaba;-1;
chocada;-1;
chocadas;-1;
chocado;-1;
chocados;-1;
chocamos;-1;
chocan;-1;
chocando;-1;
chocante;-2;
chocantes;-2;
chocar;-1;
chocares;-1;
chocas;-1;
chocé;-1;
choco;-1;
chocó;-1;
choque;-2;
choques;-2;
choqueses;-2;
chupa;-3;
chupaba;-3;
chupada;-3;
chupadas;-3;
chupado;-3;
chupados;-3;
chupamos;-3;
chupan;-3;
chupando;-3;
chupar;-3;
chupares;-3;
chupas;-3;
chupé;-3;
chupo;-3;
chupó;-3;
chupos;-3;
ciega;-1;
ciegas;-1;
ciego;-1;
ciegos;-1;
ciela;2;
cielas;2;
cielo;2;
cielos;2;
cierta;1;
ciertas;1;
cierto;1;
ciertos;1;
cínica;-2;
cínicas;-2;
cínico;-2;
cínicos;-2;
cinisma;-2;
cinismas;-2;
cinismo;-2;
cinismos;-2;
clara;1;
claramente;1;
claramentes;1;
claras;1;
claridad;2;
claridades;2;
claro;1;
claros;1;
coacciona;-2;
coaccionaba;-2;
coaccionada;-2;
coaccionadas;-2;
coaccionado;-2;
coaccionados;-2;
coaccionamos;-2;
coaccionan;-2;
coaccionando;-2;
coaccionar;-2;
coaccionas;-2;
coaccioné;-2;
coacciono;-2;
coaccionó;-2;
cobarde;-2;
cobardemente;-2;
cobardementes;-2;
cobardes;-2;
cobra;-2;
cobraba;-2;
cobrada;-2;
cobradas;-2;
cobrado;-2;
cobrados;-2;
cobramos;-2;
cobran;-2;
cobrando;-2;
cobrar;-2;
cobrares;-2;
cobras;-2;
cobré;-2;
cobro;-2;
cobró;-2;
Cocksuckers;-5;
cocksuckerses;-5;
codicia;-3;
codicias;-3;
codicio;-3;
codicios;-3;
codiciosa;-2;
codiciosas;-2;
codicioso;-2;
codiciosos;-2;
coja;-2;
cojas;-2;
cojo;-2;
cojos;-2;
colapsa;-2;
colapsaba;-2;
colapsada;-2;
colapsadas;-2;
colapsado;-2;
colapsados;-2;
colapsamos;-2;
colapsan;-2;
colapsando;-2;
colapsar;-2;
colapsas;-2;
colapsé;-2;
colapso;-2;
colapsó;-2;
colapsos;-2;
colapsoses;-2;
colérica;-3;
coléricas;-3;
colérico;-3;
coléricos;-3;
colisión;-2;
colisiona;-1;
colisionaba;-1;
colisionada;-1;
colisionadas;-1;
colisionado;-1;
colisionados;-1;
colisionamos;-1;
colisionan;-1;
colisionanda;-1;
colisionandas;-1;
colisionando;-1;
colisionandos;-1;
colisionar;-1;
colisionas;-1;
colisioné;-1;
colisiones;-2;
colisiónes;-2;
colisioneses;-2;
colisiono;-1;
colisionó;-1;
colisionos;-1;
colusión;-3;
colusiónes;-3;
combate;-1;
combates;-1;
combateses;-1;
comedia;1;
comedias;1;
comedio;1;
comedios;1;
comete;1;
cometemos;1;
cometen;1;
cometer;1;
cometeres;1;
cometes;1;
cometí;1;
cometía;1;
cometida;1;
cometidas;1;
cometido;1;
cometidos;1;
cometiendo;1;
cometió;1;
cometir;1;
cometo;1;
cómoda;2;
cómodas;2;
comodidad;2;
comodidades;2;
comodidadeses;2;
cómodo;2;
cómodos;2;
compadecimos;-1;
compadecimoses;-1;
Comparte;1;
compartemos;1;
comparten;1;
comparter;1;
compartes;1;
compartí;1;
compartía;1;
compartida;1;
compartidas;1;
compartido;1;
compartidos;1;
compartiendo;1;
compartió;1;
compartir;1;
compartires;1;
comparto;1;
compasiva;2;
compasivas;2;
compasivo;2;
compasivos;2;
competente;2;
competentes;2;
competitiva;2;
competitivas;2;
competitivo;2;
competitivos;2;
complacencia;2;
complacencias;2;
complacencio;2;
complacencios;2;
compromete;1;
comprometemos;1;
comprometen;1;
comprometer;1;
comprometes;1;
comprometí;1;
comprometía;1;
comprometida;1;
comprometidas;1;
comprometido;1;
comprometidos;1;
comprometiendo;1;
comprometiéndose;1;
comprometiéndoses;1;
comprometió;1;
comprometir;1;
comprometo;1;
compromisa;2;
compromisas;2;
compromiso;2;
compromisos;2;
con toda tranquilidad;2;
concede;1;
concedemos;1;
conceden;1;
conceder;1;
concederes;1;
concedes;1;
concedí;1;
concedía;1;
concedida;1;
concedidas;1;
concedido;1;
concedidos;1;
concediendo;1;
concedió;1;
concedir;1;
concedo;1;
concesión;1;
concesiónes;1;
concilia;2;
conciliaba;2;
conciliada;2;
conciliadas;2;
conciliado;2;
conciliados;2;
conciliamos;2;
concilian;2;
concilianda;2;
conciliandas;2;
conciliando;2;
conciliandos;2;
conciliar;2;
conciliares;2;
concilias;2;
concilié;2;
concilio;2;
concilió;2;
concilios;2;
condena;-2;
condenaba;-2;
condenación;-2;
condenaciónes;-2;
condenada;-2;
condenadas;-2;
condenado;-2;
condenados;-2;
condenamos;-2;
condenan;-2;
condenando;-2;
condenar;-2;
condenares;-2;
condenas;-2;
condené;-2;
condeno;-2;
condenó;-2;
condenos;-2;
confia;2;
confiaba;2;
confiada;2;
confiadas;2;
confiado;2;
confiados;2;
confiamos;2;
confian;2;
confiando;2;
confianza;2;
confianzas;2;
confianzo;2;
confianzos;2;
confiar;2;
confias;2;
confidente;2;
confidentes;2;
confié;2;
confio;2;
confió;2;
conflicta;-2;
conflictas;-2;
conflictiva;-2;
conflictivas;-2;
conflictivo;-2;
conflictivos;-2;
conflicto;-2;
conflictos;-2;
conflictoses;-2;
confunde;-2;
confundemos;-2;
confunden;-2;
confunder;-2;
confundes;-2;
confundí;-2;
confundía;-2;
confundida;-2;
confundidas;-2;
confundido;-2;
confundidos;-2;
confundiendo;-2;
confundió;-2;
confundir;-2;
confundires;-2;
confundo;-2;
confusa;-2;
confusas;-2;
confuso;-2;
confusos;-2;
conmociona;-2;
conmocionaba;-2;
conmocionada;-2;
conmocionadas;-2;
conmocionado;-2;
conmocionados;-2;
conmocionamos;-2;
conmocionan;-2;
conmocionando;-2;
conmocionar;-2;
conmocionas;-2;
conmocioné;-2;
conmociono;-2;
conmocionó;-2;
consentimienta;2;
consentimientas;2;
consentimiento;2;
consentimientos;2;
consentimientoses;2;
consolable;2;
consolables;2;
consolador;2;
consoladores;2;
conspiración;-3;
conspiraciónes;-3;
consternados;-2;
consternadoses;-2;
constreñe;-2;
constreñemos;-2;
constreñen;-2;
constreñer;-2;
constreñes;-2;
constreñí;-2;
constreñía;-2;
constreñida;-2;
constreñidas;-2;
constreñido;-2;
constreñidos;-2;
constreñiendo;-2;
constreñió;-2;
constreñir;-2;
constreño;-2;
consuma;2;
consumaba;2;
consumada;2;
consumadas;2;
consumado;2;
consumados;2;
consumamos;2;
consuman;2;
consumando;2;
consumar;2;
consumas;2;
consumé;2;
consumo;2;
consumó;2;
contagia;-2;
contagias;-2;
contagio;-2;
contagios;-2;
contagiosa;-1;
contagiosas;-1;
contagioses;-2;
contagioso;-1;
contagiosos;-1;
contamina;-2;
contaminaba;-2;
contaminada;-2;
contaminadas;-2;
contaminado;-2;
contaminadores;-2;
contaminadoreses;-2;
contaminados;-2;
contaminamos;-2;
contaminan;-2;
contaminando;-2;
contaminar;-2;
contaminares;-2;
contaminas;-2;
contaminé;-2;
contamino;-2;
contaminó;-2;
contaminos;-2;
contenciosa;-2;
contenciosas;-2;
contencioso;-2;
contenciosos;-2;
contende;-1;
contendemos;-1;
contenden;-1;
contender;-1;
contenderes;-1;
contendes;-1;
contendí;-1;
contendía;-1;
contendida;-1;
contendidas;-1;
contendido;-1;
contendidos;-1;
contendienda;-1;
contendiendas;-1;
contendiendo;-1;
contendiendos;-1;
contendiente;-1;
contendientes;-1;
contendió;-1;
contendir;-1;
contendo;-1;
contenta;3;
contentas;3;
contento;3;
contentos;3;
contestable;-2;
contestables;-2;
contradictoria;-2;
contradictorias;-2;
contradictorio;-2;
contradictorios;-2;
contrata;1;
contrataba;1;
contratada;1;
contratadas;1;
contratado;1;
contratados;1;
contratamos;1;
contratan;1;
contratando;1;
contratar;1;
contratares;1;
contratas;1;
contraté;1;
contrato;1;
contrató;1;
convence;1;
convencemos;1;
convencen;1;
convencer;1;
convenceres;1;
convences;1;
convencí;1;
convencía;1;
convencida;1;
convencidas;1;
convencido;1;
convencidos;1;
convenciendo;1;
convenció;1;
convencir;1;
convenco;1;
convene;1;
convenemos;1;
convenen;1;
convener;1;
convenes;1;
convení;1;
convenía;1;
convenida;1;
convenidas;1;
convenido;1;
convenidos;1;
conveniendo;1;
convenió;1;
convenir;1;
conveno;1;
coña;-5;
coñas;-5;
coño;-5;
coños;-5;
corazón pesado;-2;
correo no deseado;-2;
corta;-1;
cortaba;-1;
cortada;-1;
cortadas;-1;
cortado;-1;
cortados;-1;
cortamos;-1;
cortan;-1;
cortando;-1;
cortar;-1;
cortares;-1;
cortas;-1;
corte;-1;
corté;-1;
corteja;3;
cortejaba;3;
cortejada;3;
cortejadas;3;
cortejado;3;
cortejados;3;
cortejamos;3;
cortejan;3;
cortejando;3;
cortejar;3;
cortejares;3;
cortejas;3;
cortejé;3;
cortejo;3;
cortejó;3;
cortes;-1;
cortés;2;
cortéses;2;
cortesía;2;
cortesías;2;
cortesío;2;
cortesíos;2;
corto;-1;
cortó;-1;
cosas interesantes;3;
costosa;-2;
costosas;-2;
costoso;-2;
costosos;-2;
creativa;2;
creativas;2;
creativo;2;
creativos;2;
creciente;1;
crecientes;1;
crecimienta;2;
crecimientas;2;
crecimiento;2;
crecimientos;2;
crédula;-2;
crédulas;-2;
crédulo;-2;
crédulos;-2;
crimen;-3;
crimenes;-3;
criminal;-3;
criminales;-3;
criminaleses;-3;
crisis;-3;
crisises;-3;
critica;-2;
crítica;-2;
criticaba;-2;
criticada;-2;
criticadas;-2;
criticado;-2;
criticados;-2;
criticamos;-2;
critican;-2;
criticando;-2;
criticar;-2;
criticares;-2;
criticas;-2;
críticas;-2;
criticé;-2;
critico;-2;
criticó;-2;
crítico;-2;
criticos;-2;
críticos;-2;
críticoses;-2;
cruel;-3;
crueldad;-3;
crueldades;-3;
crueles;-3;
cubre;-3;
cubremos;-3;
cubren;-3;
cubrer;-3;
cubres;-3;
cubrí;-3;
cubría;-3;
cubrida;-3;
cubridas;-3;
cubrido;-3;
cubridos;-3;
cubriendo;-3;
cubrió;-3;
cubrir;-3;
cubrires;-3;
cubro;-3;
cuchara;3;
cucharas;3;
cucharo;3;
cucharos;3;
cuchillada;-2;
cuchilladas;-2;
cuchillado;-2;
cuchillados;-2;
cuestiona;-2;
cuestionaba;-2;
cuestionable;-2;
cuestionables;-2;
cuestionada;-2;
cuestionadas;-2;
cuestionado;-2;
cuestionados;-2;
cuestionamos;-2;
cuestionan;-2;
cuestionando;-2;
cuestionar;-2;
cuestionas;-2;
cuestioné;-2;
cuestiono;-2;
cuestionó;-2;
cuida;2;
cuidaba;2;
cuidada;2;
cuidadas;2;
cuidado;2;
cuidados;2;
cuidadosa;2;
cuidadosamente;2;
cuidadosamentes;2;
cuidadosas;2;
cuidadoses;2;
cuidadoso;2;
cuidadosos;2;
cuidamos;2;
cuidan;2;
cuidando;2;
cuidar;2;
cuidas;2;
cuidé;2;
cuido;2;
cuidó;2;
cula;-4;
culas;-4;
culo;-4;
culos;-4;
culpa;-3;
culpaba;-2;
culpable;-3;
culpables;-3;
culpada;-2;
culpadas;-2;
culpado;-2;
culpados;-2;
culpamos;-2;
culpan;-2;
culpanda;-2;
culpandas;-2;
culpando;-2;
culpandos;-2;
culpar;-2;
culpas;-3;
culpé;-2;
culpo;-3;
culpó;-2;
culpos;-3;
Cumple;2;
cumplemos;2;
cumplen;2;
cumpler;2;
cumples;2;
cumplí;2;
cumplía;2;
cumplida;2;
cumplidas;2;
cumplido;2;
cumplidos;2;
cumpliendo;2;
cumplió;2;
cumplir;2;
cumplires;2;
cumplo;2;
curiosa;1;
curiosas;1;
curioso;1;
curiosos;1;
da la bienvenida;2;
daña;-3;
dañaba;-3;
dañada;-3;
dañadas;-3;
dañado;-3;
dañados;-3;
dañamos;-3;
dañan;-3;
dañando;-3;
dañar;-3;
dañares;-3;
dañas;-3;
dañé;-3;
daño;-2;
dañó;-3;
daños;-2;
daños y perjuicios;-3;
dañoses;-2;
de acuerdo;1;
de buen tono;3;
de confianza;2;
de miedo;-2;
de mierda;-3;
de poco mérito;-2;
débil;-2;
débiles;-2;
débileses;-2;
debilidad;-2;
debilidades;-2;
debilitante;-2;
debilitantes;-2;
decepción;-2;
decepciona;-2;
decepcionaba;-2;
decepcionada;-2;
decepcionadas;-2;
decepcionado;-2;
decepcionados;-2;
decepcionamos;-2;
decepcionan;-2;
decepcionando;-2;
decepcionante;-2;
decepcionantes;-2;
decepcionar;-2;
decepcionares;-2;
decepcionas;-2;
decepcioné;-2;
decepciones;-2;
decepciónes;-2;
decepcioneses;-2;
decepciono;-2;
decepcionó;-2;
decepcionos;-2;
decir ah;2;
decisiva;1;
decisivas;1;
decisivo;1;
decisivos;1;
dedica;2;
dedicaba;2;
dedicada;2;
dedicadas;2;
dedicado;2;
dedicados;2;
dedicamos;2;
dedican;2;
dedicando;2;
dedicar;2;
dedicas;2;
dedicé;2;
dedico;2;
dedicó;2;
defecta;-3;
defectas;-3;
defecto;-3;
defectos;-3;
defectoses;-3;
defensor;2;
defensores;2;
defensoreses;2;
déficit;-2;
déficites;-2;
defraudador;-4;
defraudadores;-4;
defraudadoreses;-4;
degrada;-2;
degradaba;-2;
degradada;-2;
degradadas;-2;
degradado;-2;
degradados;-2;
degradamos;-2;
degradan;-2;
degradando;-2;
degradar;-2;
degradares;-2;
degradas;-2;
degradé;-2;
degrado;-2;
degradó;-2;
deja;-1;
dejaba;-1;
dejada;-1;
dejadas;-1;
dejado;-1;
dejados;-1;
dejamos;-1;
dejan;-1;
dejando;-1;
dejar;-1;
dejares;-1;
dejas;-1;
dejé;-1;
dejecting;-2;
dejectinges;-2;
dejects;-2;
dejectses;-2;
dejo;-1;
dejó;-1;
delanteros;-2;
delanteroses;-2;
deleita;3;
deleitaba;3;
deleitada;3;
deleitadas;3;
deleitado;3;
deleitados;3;
deleitamos;3;
deleitan;3;
deleitanda;3;
deleitandas;3;
deleitando;3;
deleitandos;3;
deleitar;3;
deleitas;3;
deleite;3;
deleité;3;
deleites;3;
deleito;3;
deleitó;3;
delica;-3;
delicaba;-3;
delicada;-3;
delicadas;-3;
delicado;-3;
delicados;-3;
delicamos;-3;
delican;-3;
delicando;-3;
delicar;-3;
delicas;-3;
delicé;-3;
delicias;3;
deliciases;3;
delico;-3;
delicó;-3;
delincuente;-2;
delincuentes;-2;
delita;-3;
delitas;-3;
delito;-3;
delitos;-3;
delitoses;-3;
demanda;-1;
demanda judicial;-2;
demandaba;-2;
demandada;-2;
demandadas;-2;
demandado;-2;
demandados;-2;
demandamos;-2;
demandan;-2;
demandando;-2;
demandar;-2;
demandares;-2;
demandas;-1;
demandases;-1;
demandé;-2;
demando;-1;
demandó;-2;
demandos;-1;
demostración;-1;
demostraciónes;-1;
denuncia;-2;
denunciaba;-2;
denunciada;-2;
denunciadas;-2;
denunciado;-2;
denunciados;-2;
denunciamos;-2;
denuncian;-2;
denunciando;-2;
denunciar;-2;
denunciares;-2;
denuncias;-2;
denuncié;-2;
denuncio;-2;
denunció;-2;
denuncios;-2;
deprime;-2;
deprimemos;-2;
deprimen;-2;
deprimente;-2;
deprimentes;-2;
deprimer;-2;
deprimes;-2;
deprimí;-2;
deprimía;-2;
deprimida;-2;
deprimidas;-2;
Deprimido;-2;
deprimidos;-2;
deprimiendo;-2;
deprimió;-2;
deprimir;-2;
deprimo;-2;
derecha;1;
derechas;1;
Derecho;1;
derechos;1;
Deriding;-2;
deridinges;-2;
derrota;-2;
derrotaba;-2;
derrotada;-2;
derrotadas;-2;
derrotado;-2;
derrotados;-2;
derrotamos;-2;
derrotan;-2;
derrotando;-2;
derrotar;-2;
derrotas;-2;
derroté;-2;
derroto;-2;
derrotó;-2;
desacreditada;-2;
desacreditadas;-2;
desacreditado;-2;
desacreditados;-2;
desafiante;-1;
desafiantes;-1;
desagradable;-3;
desagradables;-3;
desaira;-2;
desairaba;-2;
desairada;-2;
desairadas;-2;
desairado;-2;
desairados;-2;
desairamos;-2;
desairan;-2;
desairando;-2;
desairar;-2;
desairas;-2;
desaire;-2;
desairé;-2;
desaires;-2;
desaireses;-2;
desairo;-2;
desairó;-2;
desaloja;-1;
desalojas;-1;
desalojo;-1;
desalojos;-1;
desanima;-2;
desanimaba;-2;
desanimada;-2;
desanimadas;-2;
desanimado;-2;
desanimados;-2;
desanimamos;-2;
desaniman;-2;
desanimando;-2;
desanimar;-2;
desanimas;-2;
desanimé;-2;
desanimo;-2;
desanimó;-2;
desaparece;-1;
desaparecemos;-1;
desaparecen;-1;
desaparecer;-1;
desapareceres;-1;
desapareces;-1;
desaparecí;-1;
desaparecía;-1;
desaparecida;-1;
desaparecidas;-1;
desaparecido;-1;
desaparecidos;-1;
desapareciendo;-1;
desapareció;-1;
desaparecir;-1;
desapareco;-1;
desaparezca;-1;
desaparezco;-1;
desasosiega;-2;
desasosiegas;-2;
desasosiego;-2;
desasosiegos;-2;
desastre;-2;
desastres;-2;
desastreses;-2;
desastrosa;-3;
desastrosas;-3;
desastroso;-3;
desastrosos;-3;
desatiende;-2;
desatiendes;-2;
descalifica;-2;
descalificaba;-2;
descalificada;-2;
descalificadas;-2;
descalificado;-2;
descalificados;-2;
descalificamos;-2;
descalifican;-2;
descalificando;-2;
descalificar;-2;
descalificas;-2;
descalificé;-2;
descalifico;-2;
descalificó;-2;
descarrila;-2;
descarrilaba;-2;
descarrilada;-2;
descarriladas;-2;
descarrilado;-2;
descarrilados;-2;
descarrilamos;-2;
descarrilan;-2;
descarrilando;-2;
descarrilar;-2;
descarrilas;-2;
descarrilé;-2;
descarrilo;-2;
descarriló;-2;
descarrilos;-2;
descarta;-1;
descartaba;-1;
descartada;-1;
descartadas;-1;
descartado;-1;
descartados;-1;
descartamos;-1;
descartan;-1;
descartando;-1;
descartar;-1;
descartas;-1;
descarte;-1;
descarté;-1;
descartes;-1;
descarteses;-1;
descarto;-1;
descartó;-1;
desconcerta;-2;
desconcertaba;-2;
desconcertada;-2;
desconcertadas;-2;
desconcertado;-2;
desconcertados;-2;
desconcertamos;-2;
desconcertan;-2;
desconcertando;-2;
desconcertar;-2;
desconcertas;-2;
desconcerté;-2;
desconcerto;-2;
desconcertó;-2;
desconecta;-1;
desconectaba;-1;
desconectada;-1;
desconectadas;-1;
desconectado;-1;
desconectados;-1;
desconectamos;-1;
desconectan;-1;
desconectando;-1;
desconectar;-1;
desconectas;-1;
desconecté;-1;
desconecto;-1;
desconectó;-1;
desconfia;-3;
desconfiaba;-3;
desconfiada;-3;
desconfiadas;-3;
desconfiado;-3;
desconfiados;-3;
desconfiamos;-3;
desconfian;-3;
desconfiando;-3;
desconfianza;-3;
desconfianzas;-3;
desconfianzo;-3;
desconfianzos;-3;
desconfiar;-3;
desconfias;-3;
desconfié;-3;
desconfio;-3;
desconfió;-3;
desconsidera;-2;
desconsideraba;-2;
desconsiderada;-2;
desconsideradas;-2;
desconsiderado;-2;
desconsiderados;-2;
desconsideramos;-2;
desconsideran;-2;
desconsiderando;-2;
desconsiderar;-2;
desconsideras;-2;
desconsideré;-2;
desconsidero;-2;
desconsideró;-2;
desconsola;-2;
desconsolaba;-2;
desconsolada;-2;
desconsoladas;-2;
desconsolado;-2;
desconsolados;-2;
desconsolamos;-2;
desconsolan;-2;
desconsolando;-2;
desconsolar;-2;
desconsolas;-2;
desconsolé;-2;
desconsolo;-2;
desconsoló;-2;
desconsuela;-2;
desconsuelas;-2;
desconsuelo;-2;
desconsuelos;-2;
descontenta;-2;
descontentas;-2;
descontento;-2;
descontentos;-2;
descorazona;-2;
descorazonaba;-2;
descorazonada;-2;
descorazonadas;-2;
descorazonado;-2;
descorazonados;-2;
descorazonamos;-2;
descorazonan;-2;
descorazonando;-2;
descorazonar;-2;
descorazonas;-2;
descorazoné;-2;
descorazono;-2;
descorazonó;-2;
descue;-2;
descuemos;-2;
descuen;-2;
descuenta;-1;
descuentas;-1;
descuento;-1;
descuentos;-1;
descuer;-2;
descues;-2;
descuí;-2;
descuía;-2;
descuida;-2;
descuidaba;-2;
descuidada;-2;
descuidadas;-2;
descuidado;-2;
descuidados;-2;
descuidamos;-2;
descuidan;-2;
descuidando;-2;
descuidar;-2;
descuidas;-2;
descuidé;-2;
descuido;-2;
descuidó;-2;
descuidos;-2;
descuiendo;-2;
descuió;-2;
descuir;-2;
descuo;-2;
desdén;-2;
desdénes;-2;
desdeñosa;-2;
desdeñosamente;-2;
desdeñosamentes;-2;
desdeñosas;-2;
desdeñoso;-2;
desdeñosos;-2;
desea;2;
deseaba;2;
deseable;2;
deseables;2;
deseada;2;
deseadas;2;
deseado;2;
deseados;2;
deseamos;2;
desean;2;
deseanda;1;
deseandas;1;
deseando;1;
deseandos;1;
desear;2;
