titulo,estilo,artista,id,estrofa
Wacha Están Mamando Riata,rap,Cartel de Santa,id_552,"Wacha estan mamando riata
Los tienen a gatas
Estan lamiendo patas
Y ni asi la pegan
No son de a deveras
Puras arguenderas
Buscan calavera"
Prepárate,rap,Lyanno,id_555,"Baby, tú dime qué cree'
Tú te preparas y yo te recojo a las tre'
Partir y pa' darte como es
Pa' que te olvide' de él
Y sólo piense' en mí
Baby, yo mato por ti"
Un poco de amor,rock,Shakira,id_558,"Hoy es un día de aquellos
En que miro hacia el cielo
Tratando de descifrar el que estés
De vez en cuando lejos
Y de vez en cuando cerca
Unas veces subir y otras caer"
$.A.N.T.E.R.Í.A.,rap,Doble Porcin,id_561,"Son los borrachos de siempre
Por ahí en cualquier parte
¿No sabías de nosotros?
Aquí estamos
(Doble Porción) MBZ (La Bomba de Ziroshima)
Me sabe amargo (Son vueltas a la manzana)"
Fantasy,pop,Charly Garca,id_562,"Fantasy es un lugar
Del que nadie puede regresar
Del que nadie puede regresar
Fantasy es ilusión
Porque nunca hay nadie alrededor
Porque nunca hay nadie alrededor"
Malegría,pop,Manu Chao,id_568,"Por la calle del desengaño
Mañana pasearé
Con malegría otra vez
Por la calle del desengaño
La malegría ahogaré
Dentro un vasito de jerez
Cuando tú me hablas
Cuando tú me hablas"
Hoy Se Vale To,pop,Don Omar,id_569,"Hoy se vale to'
No quiero escuchar de problemas, quiero vacilón
Un poco 'e whisky, un blunt
Hoy no hay nada que me detenga la nota
Y pongan de esa musiquita que alborota"
Milagro,rap,Juaninacka,id_571,"(Sí, solo quiero que sepas que...)
Es un milagro estar aquí
Sé bien que es un milagro (Es un puto milagro)
(Tenlo claro)
Vigila bien tu espalda que hay mucho cobardes
Es un milagro estar aquí
Despierto temprano aunque me acueste tarde
A veces me cuesta dormir, sí"
Loco,pop,Casper Mgico,id_573,"Tú eres mala
Que tú eres bipolar, que eres de ganas
Que esto es cuándo a ti te de la gana
Que estás invicta, nunca pierdes, siempre gana
Que te lo' comes y después los deja"
Delirio,rap,Acru,id_576,"Antes que nada, dame el gusto a presentarme (-tarme)
Antes que nada, dame el gusto a presentarme (-tarme)
Antes que nada, dame el gusto a presentarme (-tarme)
Agustín Cruz, lo demás no es importante
-tante, -tante"
Que me alcance la vida,pop,Sin Bandera,id_579,"Cada deseo que tu me adivinas
Cada vez que ríes, rompes mi rutina
Y la paciencia con la que me escuchas
Y la convicción con la que siempre luchas
Como me llenas como me liberas
Quiero estar contigo si vuelvo a nacer"
El Genio del Dub,rock,Los Fabulosos Cadillacs,id_581,"Por eso escucha la voz
Por eso escucha la voz
Por eso escucha la voz
Por eso escucha la voz
Del genio que dice, que dice, que dice
Que dice, que dice, que dice
Que dice, que dice, que dice
Un, dos, tres, cua..."
Marina,pop,Gipsy Kings,id_582,"Marina, Marina, Marina
Contigo me quiero casar
Marina, Marina, Marina
Contigo me quiero casar
Hace mucho tiempo
Que te estoy queriendo
No digas que me quieres
Porque me muero yo"
Nada de Nada,pop,Marc Anthony,id_585,"(Ah-la-la-lei-ah
Ah-la-la-lei-ah
Ah-la-la-lei-ah
Ah-lei-ah, ah-lei-ah)
(Ah-la-la-lei-ah
Ah-la-la-lei-ah
Ah-la-la-lei-ah
Ah-lei-ah, ah-lei-ah)"
Después Que Te Fuiste,pop,Feid,id_587,"Despué' que te fuiste de mi vida
Me la pasaba jangueando con perras, pero mirando mi cel
En redes estás desaparecida
Pero hay un montón de pirobos siguiéndote
Tú siempre vas a ser mía
Nea, te pienso todo el día
Ya no me quedo tranquilo"
F40,pop,J Balvin,id_593,"Les paso en el F40 sin necesidad de una .40 (Una .40)
Meto el terror y paro venta (Paro venta)
Sé que e' raro ver a tu baby con mi' Jordan puesta' (Puesta')
Y si no se han da'o cuenta, ando flow leyenda (Flow leyenda)
Eh, baby, me ves brillando y no es ni por las prenda' (Prenda', prenda')
Yo tengo el flow que no venden ni en la tienda
Tengo la salsa, Héctor Lavoe pa' lo' ochenta (Ochenta)
Yo soy una leyenda (Una leyеnda)"
Me Gusta,rb,Arcngel,id_595,"Me gusta cómo tú amaneces (Yes)
Tu cara me lo dice todo (Todo, todo)
Me gusta cómo tú hace' el desayuno
Después de hacerlo a mi modo (Mi modo, mi modo)
Me gusta cómo te levantas (Ajá)
Adoro cómo tú caminas (Ajá)
Ya sé lo que se avecina (Auh)
Cuando te me trepas encima, yes"
Cuatro Cirios,pop,Javier Sols,id_598,"Ay qué cortejo tan frío
Qué soledad y dolor
Sólo están los cuatro cirios
También de luto vestidos
Llorando en mi corazón"
Arboles De La Barranca,pop,El Coyote Y Su Banda Tierra Santa,id_606,"Arboles de la barranca
¿Por qué no han enverdecido?
Es que no los han regado
Con agua del río florido
Me puse a amar a una mujer
Con la ilusión de amar.."
Figura Pública,rap,Luar La L,id_608,"You have reached the voice mailbox of–
E' un diabla, ella se la’ trae
Pero te confunde, parece hasta buena (Ah-ah)
Parece hasta buena (Ah-ah)
Bichote y kilero' siempre les caen (Siempre las caen)
To' le quieren meter, si la nena está buena (Ah)
Si te digo el nombre te suena, sí"
Cuanto Te Debo,pop,Vicente Fernndez,id_610,"Cuanto te debo
Por ese amor de aventurera
Que has dado
Por tu comedia de cariño calculado
Amor amargo disfrazado de pasion"
L.N.E.M. GATA,pop,Maluma,id_611,"Si no ere' tú, llama a tu amiga que ando ready y alofoke (Foke)
Foke, tengo más anillo' que Pato López (Jaja)
En esta liga, ma' (Yeah), todo' van despacio y voy a tope
Ando con reale', pato' no entran en mi bote (Ay)
De vuelta por Medallo en lo' Mercho (¡Wuh!)
Fumando como Verso Terso, no lo' coja' perso
Despué' de matar a tu gata, te mato en un verso
Yo no converso, así que busquen los refuerzo' (Los refuerzo')"
Claro,rap,Wisin,id_614,"Yo sé que tu pides (Yo')
Que yo te castigue (Ajá)
No te hagas la difícil y dámelo
Pa' que de mí no te olvides (No me sueltes)
Ahora sí nada me impide (Eh-eh-eh; Tra, tra, tra)
Que yo te castigue (Tra, tra, tra, tra)
No te hagas la difícil y dámelo
Pa' que de mí no te olvides (Nosotros somos grandes ya)"
Se Esfuma Tu Amor,rock,Marc Anthony,id_617,"Con el correr del tiempo te fuiste alejando
Como quien parte poco a poco y para siempre
Dejando atrás lo que fue parte de tu vida
Tomando lo que no era tuyo
Lo que no te correspondía"
No pude enamorarme más,pop,Los Tigres Del Norte,id_621,"Hoy, que de nuevo te encuentro
Quiero sentir otra vez
Tus manos sobre mi cuerpo
Tu aliento y tus labios quemando mi piel
Porque no pude enamorarme más
Tú te adueñaste de mi voluntad
En todo este tiempo he guardado deseos
Y quiero saciarme en ti nada más"
Santo,pop,Darkiel,id_623,"Baby, no deje' que, que te vengan con cuento'
Y te digan que, que te puse los cuerno' (Te puse lo—)
Tú sabe que eso no e' cierto (Que eso no e' cierto)
Contigo me he vuelto un experto
Tú ere' otra cosa, tú ere' la diva (Eh-eh-eh)
La única adicción que me motiva
Conmigo siempre estás arriba y eso te gusta, bebé"
La Perla,pop,Calle 13,id_630,"Allá abajo en el hueco, en el boquete nacen flores por ramillete
Casita de colores con la ventana abierta
Vecinas de la playa puerta con puerta
Aquí yo tengo de to' no me falta na', tengo la noche que me sirve de sábana
Tengo los mejores paisajes del cielo
Tengo una neverita repleta de cerveza con hielo"
Ego,pop,J Balvin,id_632,"Dime qué voy a hacer contigo si yo no te olvido, si yo no te
Dame una noche y me despido
Que hoy estoy activo, dime, baby
¿Qué yo voy a hacerme contigo, si yo no te olvido, si yo no te?
Dame una noche y me despido (Eh, eh)"
Fiesta,pop,Joan Manuel Serrat,id_641,"Se Acabó
El Sol Nos Dice Que Llegó El Final
Por Una Noche Se Olvidó
Que Cada Uno Es Cada Cual
Vamos Bajando La Cuesta
Que Arriba En Mi Calle
Se Acabó La Fiesta"
Por debajo del agua,pop,Los Tigres Del Norte,id_642,"El comandante reynoso
Dijo a los uniformados
Me ofrecierón un dinero
Por ni en sueños lo juntamos
Han caído los del dea
Del gobierno americano
(Puro Cachanilla Compa!)"
Los mandados,pop,Vicente Fernndez,id_644,"De ahí me fui a Tamaulipas
Y me colé por Laredo
Me disfracé de gabacho
Y me pinté el pelo güero
Y como no hablaba ingles
Que me retachan de nuevo"
Ray Charles,rap,Coqein Montana,id_645,"Bitch
Killah Music Inc, bebé
Es el Coqeé Montana jodiendo a to' tus nigga
KMD, KMD
Toda esas zorra' 'tan twerkeando para mí
Oh, yeh!"
Corona,rap,Mike Daz,id_646,"Voy a ganar (¿qué) 100 de a 100 (diario)
No importa el cómo los ganaré (champ)
Voy a ganar (más, más) 100 de 100 (diario)
No importa cómo los gane, güey
Voy a ganar (¿qué) 100 de a 100 (diario)
No importa el cómo los ganaré (champ)
Voy a ganar (más, más) 100 de 100 (diario)
No importa cómo los gane, güey"
O Naufragar,pop,La Maravillosa Orquesta del Alcohol,id_649,"¿Acaso hay alas suficientes
Para que puedan ser ángeles
Todos los que lo merecen?
Hoy he visto marchar
Al último pájaro de la mañana
Tú no te vas, queda esperanza
Un motivo más para eludir
La soledad del que se fue"
Apología del llanto,rap,SFDK,id_650,"El golpe de efecto que le vino a cambiar
La falta de afecto que le impide llorar
Después del día sexto, el pretexto perfecto
Para llorar libre y no ponérselo al mar
El golpe de efecto que le vino a cambiar
La falta de afecto que le impide llorar
Después del día sexto, el pretexto perfecto
Para llorar libre y no ponérselo al mar"
Dos días en la vida,pop,Celia Cruz,id_653,"Hay dos días en la vida
Para los que no nací
Dos momentos en la vida
Que no existen para mí
Esas cosas en la vida
No se hicieron para mí
Hay dos días en la vida
Para los que no nací"
Gordo Ricardo,rap,Homer el Mero Mero,id_656,"Al Gordo se le ocurrió un día visitar Europa
Se va directo hasta Madrid con toda su familia
Quien iba imaginar que el gordo no regresaría
Ni pa’ poner la otra mejilla, palabra en la Biblia
La banda quedó mal parada sin Gordo y sin prote
No le costo a las federales meterlos al bote
Todos declararon en contra del Gordo Ricardo
Dicen que un día salio apurado y nadie sabe dónde"
Me Entere,pop,Daddy Yankee,id_658,"Dice que le hablas de mí a la gente
Que lo haces todo el tiempo y yo sé por qué
Porque te has dado cuenta (Come on!)
Que no lo supiste hacer
Y ahora yo"
Amor Temporero,rock,Marea,id_659,"No quiero tu amor temporero
Tu flujo de hiel, tus ganas de perder
Aunque sé que si te vas me quedo en ná
No pienso caer, no me voy a joder
Porque se que me acecha el día y el sol
Pa' follarme a cara de perro y decirme
¿Lo que vas a hacer con tu mierda de poemas
Sin su olor, sin su piel?"
Renace,rap,Mike Daz,id_660,"Punto más oscuro al amanecer
Aparecen rutas cuando amas nacer
Punto más oscuro al amanecer
Aparecen rutas cuando amas nacer
Renace, dale, dale, dale, Renace
Renace, dale, dale, dale, Renace
No hay tiempo que perder, el hoy es lo que importa, no ayer ni mañana
El cuerpo muere y el alma regresa, otro episodio se reinventa"
Magia,rap,HORUS  TIERRA,id_665,"""¿Tan solo doce? Es muy débil para romperlo""
Todos murmuraban, nadie quería creerlo
Pero la razón por la que salvó al pequeño
Es que no había nadie diciendo que no podía hacerlo
¡Te das cuenta! Así nos adoctrinaron
Todos tenemos magia, pero nos la ocultaron
Otros con el tiempo la olvidaron
Cuando cambiaron el poder interno por los celulares caros"
Inercia,pop,IZAL,id_666,"He pasado demasiado tiempo huyendo de esa luz
De la que tanto hablo en sueños, y sin saberlo
Fui poniéndome enfermo, cansándome de mí
Tan pálido y viejo, y al final, la solución
Fue sencillamente vernos"
Parcerita,pop,Myke Towers,id_670,"Yo me hago el mudo, yeah
Yo me hago el mudo, baby
Easy Money Baby, yeah, yeah
Esto suena rudo, jaja, yeah
The Rudeboyz (Rudeboyz)
My-My-Myke Towers, baby, yeah
Eh-eh, eh-eh
Parcerita, dime qué hubo"
Cuando Ella Sale,rap,Morad,id_671,"Y cuando ella sale no hay persona que a ella no domina
Y cuando ella sale no pasea en la calle, ni en la' esquina'
Y cuando ella sale no hay persona que a ella no domina
Y cuando ella sale no pasea en la calle, ni en la' esquina'
Y cuando ella sale no hay persona que a ella no domina
Y cuando ella sale no pasea en la calle, ni en la' esquina'
Y cuando ella sale no hay persona que a ella no domina
Y cuando ella sale no pasea en la calle, ni en la' esquina'"
Ritmo y Decepción,pop,Miranda!,id_672,"No hay nada para ver
En la televisión
Y el disco que bajé se escucha mal
La ropa se ensució
La chica me dejó
Me dijo que llamaba y no llamó!"
Se Explicara,pop,Julieta Venegas,id_675,"Hay cosas que precisan tiempo
Tiempo para florecer
Estrellas que se acomodan
Un día los puedes ver
Y de repente todo es más fácil
Tu misma vas a ver como se abre todo para ti
La cuestión era llegar a él"
PLUGG 2,rap,Yung Beef,id_676,"I was made for loving you, baby (Jaja)
You were made for loving me (1guilthy)
Uh
(Dímelo, shine)
Tre' de lo' Benji (I was made for loving you, baby)
(You were made for loving me)
(Con tu niña' en la Clocker') Uh"
Bien o Mal,rap,Paulo Londra,id_678,"Quiero que me busque como yo lo busco a ella
Porque aunque no se note
Siempre ando muy vencido, muy vencido
Quiero que me busque como yo lo busco a ella
Porque aunque no se note
Siempre ando muy vencido, muy vencido"
Kenia Roast Yourself Versión Acústica En Vivo,pop,Kenia OS,id_680,"Tienes muchos zombies, ya que parece
Que todos ellos aman lo podrido
Mi fam y yo somos de verdad
Algo que tu y los tuyos no han podido
Tienes los seguidores, claro
Pero nunca has tenido el estilo
La sangre fría siempre de reptil, no?
Mi lagrimitas de cocodrilo"
Plan B,pop,Eladio Carrin,id_688,"x2
Que ella no se toma el Plan B
Pa' XXX mi mujer
Yo no se lo que XXX
Quisiera desaparecer"
Al Fin Te Encontré,pop,Ro Roma,id_694,"Pero al fin te encontré o me encontraste tú
O quizá fue el amor que al final se apiadó
Pero al fin te encontré, te vi y no dudé
Sé que me he equivocado y fue en vano jurar amor en el pasado...
Y es que al fin te encontré, al fin te encontré"
Mi problema,pop,Ismael Serrano,id_701,"Me lo dicen amigos y enemigos:
Que tú eres mi único problema
Desde que ya no estás conmigo
Me lo dicen amigos y enemigos:
Que tú eres mi único problema
Desde que ya no estás conmigo
Dedícale a Cupido esta esquela
Virgen del desconsuelo y del peligro"
Culpable,rap,Justin Quiles,id_703,"Ella sabe que yo soy el nene
La ve casi todos los weekenes
Cuando salgo con ella a South Beach
Ella sabe que el nene la tiene
Me muerde los labios, me marca y me dice: ""¡Así nadie te tiene!""
Sabe lo que le conviene
(Culpable de que yo no frene)"
La Despedida Remix,pop,Daddy Yankee,id_704,"Antes que te vayas dame un beso (Un Beso...)
Se que soñare con tú regreso (Tu Regreso...)
Mi vida no es igual (Ay No)
Ahora que te perdi
Hay Como te voy a olvidar
Dime Como te voy a olvidar
Hey Dale Mambo!!"
Malo,pop,Maluma,id_711,"No es que sea malo malo
Solo soy diferente
No es que sea malo
Como dice la gente
No es que sea malo uo
Sólo soy diferente ie
No es que sea malo uo
Como dice la gente"
TDP,rap,Cecilio G.,id_717,"Bang, bang, mi grupo es fuego
Gang, gang, ellos Todos Presos
Drogas, putas y juego
En un país extranjero
Bang, bang, mi grupo es fuego
Gang, gang, ellos Todos Presos
Drogas, putas y juego
En un país extranjero"
Listo para morir,rap,Santa RM,id_719,"Punchline, estoy listo para morir
Y si el pueblo lo reclama que me crucifique encima
Si bajo de esta cruz, no van a tocar mi llaga
Yo no perdono, el que la hace, me la paga
Punchline, estoy listo para morir
Y si el pueblo lo reclama que me crucifique encima
Si bajo de esta cruz, no van a tocar mi llaga
Yo no perdono, el que la hace, me la paga"
Hoy,pop,Julieta Venegas,id_721,"Tanto, tanto error, casi desaparecí
Dejé la vida en llegar aquí
Hoy pediré perdón y agradeceré
Todo mi pasado porque me trajo a ti
Por algo fui así. Hoy me entregaré feliz"
Hablame de Ticket,pop,De La Ghetto,id_733,"Muchos que me roncan y no pueden competir
Shop the shit but eyes sea
Que tu quieres hacer, por que sabes in the street
Beat case is he the fucking me
Un peine 100 pa pararme a mi
Aja the brands for the copy five
Copy the files and the hide ladies
Con mucho flow para cortar los hydes"
Después de todo,rap,AMBKOR,id_735,"¡Otra puta liga!
¡Iván Nieto, Ambkor!
Hemos vuelto a hacerlo
Madrid y Barcelona
Hemos vuelto a hacerlo y tú no
Ivan Nieto, ""El Piloto"", Ambkor"
Acabo de llegar,rock,Fito & Fitipaldis,id_739,"¿Qué te voy a decir?
Si yo acabo de llegar
Si esto es como el mar
¿Quién conoce alguna esquina?
Dejadme nacer
¿Qué me tengo que inventar para hacerme pez?
Empecé por las espinas"
Taco de palabras,pop,Lila Downs,id_740,"Por mi raza, por mi casa, por mi pueblo te pedí
Tortilla
Y mi diste chile picoso
¡Hay machete!
Ya no me castigues tanto
De todos modos yo Juan te llamo
Yo me entrego con este canto"
Qué Chulada De Mujer,pop,Vicente Fernndez,id_742,"Que chulos ojos
Los que tiene ésa linda joven que estoy mirando
Que miradita
Esa que me está matando
Yo le quiero convencer"
PRMVR,pop,La Maravillosa Orquesta del Alcohol,id_751,"Eskuak estu lotuta
Aske izateko asmo horri
Eskuak estu lotuta
Baina gure ahotsa
Beti libre
Beti libre
Dile al capitán que renuncio a ser su guía
Neu naizela orain lemazain nire bizian"
Un Mal Sueno,rock,Marc Anthony,id_753,"Todo ha sido en vano
Todo ha sido falso
Esto es un mal sueno
Eso es un engano
Que tu llamas amor"
Puto,rock,Molotov,id_758,"¡Puto! Le faltan tanates al
¡Puto! Le faltan trompiates
¡Puto! Le faltan tanates al
Puto, puto
¡Puto! Le faltan tanates al
¡Puto! Le faltan trompiates
¡Puto! Le faltan tanates al
Puto, puto"
Me Extrañas,pop,De La Ghetto,id_759,"Ahora (Ahora)
Que tú quieres (Que tú quieres)
Volver pero no, no se puede (No se puede)
Baby, ahora (Baby, ahora)
Que tú quieres (Que tú quieres)
Volver pero tengo otras mujeres"
No Me Preguntes Más,pop,Yuridia,id_761,"Y ya no me preguntes más
Sin querer se me enredó el corazón
En sus brazos abiertos
Ya no me preguntes más
Este amor no dio ninguna razón
Dejarás los recuerdos atrás"
Sublime mujer,pop,Vicente Fernndez,id_764,"Porque no me he topado
Con vicio mas fuerte
Que el de una mujer
Ese vicio bendito
Que me da lo amargo
Que me da la miel"
Calma Vladimir,rock,El Cuarteto de Nos,id_765,"Pará de gritar, pará de correr
No dramatices, poné tu infierno en el freezer
Para que tu vida exorcice
Tan sólo eso quise pero no me dejás
Me estás poniendo nervioso, me estás haciendo enojar!
No entendiste nada lo que te quise explicar"
Volverá a llover,rap,AMBKOR,id_766,"Soy esas horas de dolor a solas
Soy lo que fui, lo que sufrí
No me pienso hundir si vienen olas
Sé que mejoras cuando lloras, también lo hago
Bajo la lluvia es cuando ocurren los milagros"
Baila Conmigo,rap,Cecilio G.,id_767,"Baila conmigo esta noche
Y después ya no quiero ma' (Na, la, la, la)
Vente conmigo una noche
Y después te voy a olvidar (Na, na, na, na)
Baila conmigo esta noche
Y después ya no quiero na' (No)
Vente conmigo una noche
Luego yo te voy a olvidar (Na, na, na, na)"
Ya Pasó,rap,M2H,id_770,"Pa' mí eso ya pasó, baby, eh (Yeah, yeah, yeah)
Ahora que me habla ya no entiendo na' (¡No!)
Dice que me quiere, y son pendejadas (Ya no entiendo nada)
Pa' mí eso ya paso, baby, eh
Ahora que me habla ya no entiendo na' (Na, na)
Dice que me quiere y son pendejadas
No entiendo nada"
Mi Fantasia,pop,Los Bukis,id_774,"Que solo fue una fantasía fugaz
Soñé y nada mas con ser feliz contigo
Y ahora despierto y vuelvo a mi realidad
Tu no estas
Aquella dulce fantasía termino
Y hoy solo quede ilusionado
De que tu vuelvas a mi lado otra vez
Otra vez"
Decídete,pop,J Balvin,id_779,"Tú y yo nos vemo' a escondidas (Escondidas)
La vida nos puso en este lugar (En este lugar)
Nada jamás va a cambiar
A menos que tú cambie', amor (Oh-oh)
Y finalmente te decidas (Decidas)
Por dejarlo a él y darme a mí ese lugar (Darme a mí ese lugar)
Dime, ¿qué vas a esperar? (¿Qué vas a esperar)"
Tu Bandolero,rap,Darkiel,id_783,"Mami dale pa'l frente no lo pienses mas y vente
Te gusta que te ponga en 20
Yo soy tu muñeco y tu mi muñeca Rebeca
Linares me dice que pare, pero son feka
Lo hace porque así te gusta que te siga dando a la primera que te vienes sabes que estamos empezando, yeah"
Cobarde,pop,Yuridia,id_785,"
Perdón por ver estrellas donde no había
Y por ilusionarme con tus besos de papel
Perdón por confundir amor con compañía
Y comprarme la idea de que un día
Tú me ibas a querer, a querer"
Perdóname,pop,Ramona,id_790,"Se asoman las lágrimas
Y mis labios
Dicen perdón
Palabra sin orgullo
Que sale de muy dentro
Sé que soy la decepción
Y trataré de hacerlo bien
Hacerlo bien"
Tu Carita,rap,Poison Kid,id_791,"No es normal
Que piense en tu carita cada ve'
Que mi mundo esta al revés (Oh girl)
No es normal
Que no pueda sacarte de mi ser
Y que sea mejor que ayer por ti"
Ven Conmigo,rap,Daddy Yankee,id_798,"Ay mami ven conmigo
Es muy temprano para regresar a la disco
Mami ven conmigo
I gotta get that, gotta get that
Quédate conmigo"
El Choclo,pop,Julio Iglesias,id_803,"Con este tango que es burlón y compadrito
Se ató dos alas las emoción de mi suburbio
Con este tango nació un tango y como un grito
Salió del sórdido barrial buscando cielo
Conjuro extraño de un amor hecho cadencia
Que abrió caminos sin más ley que su esperanza
Mezcla de rabia, de dolor, de fe, de ausencia
Llorando en la inocencia de un ritmo juguetón"
La Mujer en la Ventana,pop,Carlos Vives,id_805,"No no no señor
A una mujer no se toca
En la religión
Sólo se sigue y se adora
No no no señor
No dañe usted lo más bello
Fue una bendición
Todo un regalo del cielo"
¿En Qué Nos Convertimos?,pop,Jesse & Joy,id_809,"(Uh-uh-uh, uh-uh-uh)
Uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh (Uh-uh-uh)
Uh-uh-uh-uh-uh
Uh-uh-uh"
Adictiva,pop,Juhn,id_811,"¿Cómo me la saco de encima? (-cima)
Si cada ve' que se me trepa encima (-cima)
La maldad con suciería combina (-bina)
Me tiene vela'o por to'a la' esquina (-quina)
No puedo sacármela de encima (Encima, eh)
Si no la llamo me persigue y me hostiga (Me hostiga)
Quiero dejarla pero es muy adictiva (Uoh-oh)
Verla sin ropa e' una cosa divina (Jajaja)"
Total Que Mas Da,pop,Bronco,id_812,"Total que mas da
Si contigo solo sufrí
Puedes irte tranquila
Y no te preocupes por mi
Me he acostumbrado a todo
Se llorar y reír"
Quedate Junto A Mi,pop,RKM & Ken-Y,id_814,"Hoy
He vuelto a recordarte
Hoy volví a llorarte
Y solo he pensado en ti
En ti
Que cosas tiene el corazón
Después de haber pasado tanto
Parece que ya lo ha olvidado"
No Quiero Ser Uno Más,rap,Toteking,id_818,"Hago lo que siento, ¡woh!
No hablo de coches ni pistolas
Lo que llevo adentro, ¡woh!
No se rige por las modas
No me representa
Tu manera de actuar
Si eso es lo que se lleva
No quiero ser uno más"
Suavecito Despacio,pop,Wisin & Yandel,id_822,"WY
Ye, ye-ye-ye-yeah
Alexis & Fido
W, Yandel
Mr-Mr A, Sr F
Yandel
Los Líderes
Sr. F"
Paciencia,rap,DELLAFUENTE,id_824,"Por ti robé en la tienda pa' que dinero tuvieras
Y pudiéramos dormir con sabanitas de franela
He visto la luz en tus ojos pero no me ha gusta'o
Porque de tanto que brillan, mira a mí me han deslumbra'o
Y suelo ser reticente aunque no sé qué significa
Las señales de la vida muchas veces nos lo explican
Las cosas que se nos vienen y no sé lo que tú quieres
Yo sí sé qué quiero, algo que tú nunca tienes, paciencia"
Un Beso Live,pop,Aventura,id_826,"Su boca es tan sensual
Me cautiva y me excita
No me canso de besar
Su lengua es mi debilidad
Ella sabe los truquitos
Dígame si hay alguien más"
Día Lejano,pop,Juanes,id_830,"Tal vez...
Algún día lejano quizás
Te vuelva a encontrar
Tal vez...
Algún día lejano quizás
Te pueda olvidar...
Te pueda olvidar...
Te pueda olvidar..."
Puesto Pal Dinero,rap,Duki,id_831,"Cambiando de flavor
Sonando nuevo (¿Dónde están?), woh
Pensando en dinero (Woh)
Si está to' loca, me llama
Tipo seis de la mañana
Quiere el after en mi cama
Gorilla Glue y polvo de hada'"
04,pop,Cecilio G.,id_846,"Culo suculento en el dancefloor
Duro como tenerla en la friendzone
Oh, mami, parece un videoclip de dembow
Oh, mami, aquí el party si lo mueve lento
Si lo mueve rápido nos vamo' al infierno
Pero esto es otro song, hoy cantamo' pa' los tierno'
Me robó el corazón ese melocotón, en movimiento
Eso no era un booty, era un templo"
Te Vi Venir,pop,Sin Bandera,id_848,"Porque te vi venir y no dudé
Te vi llegar, y te abracé
Y puse toda mi pasión para que te quedaras
Y luego te besé y me arriesgué con la verdad
Te acaricié, y al fin abrí mi corazón para que tú pasaras
Mi amor te di sin condición para que te quedaras"
Somos Uno,pop,Yandel,id_857,"Oh, oh, oh-oh
Oh-oh, oh-oh, oh-oh
Oh, oh, oh, oh-oh
Uh, oh, oh, oh-oh
Oh, oh, oh-oh
Oh-oh, oh-oh, oh-oh
Oh, oh, oh, oh-oh
Uh, oh, oh, oh-oh"
Abrir la puerta,misc,Gepe,id_861,"Hey te tengo que contar
Que yo soy algo igual
Mirando el techo no sé que pasa
Será el calor o el frío el que no seca
El dólar, la política siniestra
El puño que golpeará la mesa
Nos tapó el sol"
La Piñata,pop,Los Tucanes De Tijuana,id_865,"La gorra de Guerra
La ah roto la perra
La perra de parra
Le ah roto la gorra
La gorra de Guerra
La ah roto la perra
La perra de Parra
Le ah roto la gorra"
Agua,rap,AMBKOR,id_866,"Si no sé qué decir ni qué pensar
Y sigue lloviendo tras el cristal
Hoy voy a salir fuera
Lo mejor me espera de camino al mar
De camino al mar..."
Hawaii,pop,Alvaro Soler,id_870,"We gotta go, mamá
You already know, mamá
We gon' ride on the waves on the coast, mamá
We gotta go, mamá
You already know, mamá
Come and ride conmigo"
Tras El Cristal,rap,Porta,id_874,"Porque la vida no hay siempre que tomársela mal
Hoy los problemas se quedarán detrás del cristal
Quédate con lo positivo, lo demás da igual
Todo sueño puede acabar siendo real
Porque la vida no hay siempre que tomársela mal
Hoy los problemas se quedarán detrás del cristal
Quédate con lo positivo, lo demás da igual
En tu historia eres el personaje principal"
Se Preparó,pop,Ozuna,id_875,"Hoy ella hace lo que quiera
Se monta en su nave a quemar la carretera
Le mete al baile con la música buena
Dale champán y se prende en candela, esa e' mi nena
Hoy ella hace lo que quiera
Se monta en su nave a quemar la carretera
Le mete al baile con la música buena
Dame la champán y se me prende en candela, esa e' mi nena"
Salgamos,pop,Kevin Roldn,id_883,"Para eso te estoy llamando
Es que quería saber si sigues pensando en mi
Como yo te estoy pensando
Es que me vuelvo loco
Pasa el tiempo y no te tengo"
RapSinCorte XL,rap,Foyone,id_885,"Ojala mi madre me hubiera comido un tripi
Ojala mi padre hubiera pintado graffiti
Voy a darle a mis hijos todo lo mejor que tengo
Por que espero que algún día me vean como un ejemplo
No siento remordimiento por mi pasado
Sino responsabilidad por mi futuro
Todos tenemos una historia, un lado oscuro
Seguimos puros, en el fuego nos han forjado"
Berracos,rap,Coqein Montana,id_888,"Busco unos perri
Me acicalo y salgo pa' la calle flexin'
Bien ribeteado, yendo al Bajo a buscar peri
Subiendo el rango cambié a Jenny por Stacy
Fumo O.G, Tomo Henny, Henny, Henny, He-"
Dr. Psiquiatra,pop,Los ngeles Azules,id_892,"Yo soy Julieta
Y en luna llena
Me vuelvo loba
Y busco a Romeo
No estoy loca, no estoy loca, no estoy loca
Solo estoy, desesperada"
Devuélveme,pop,Los Tigres Del Norte,id_899,"Devuélveme los besos que te daba
Las noches tan hermosas del ayer
Y no me dejes cicatrices en el alma
Que me recuerden que algún día me enamore
Devuélveme los besos que te daba
Las noches tan hermosas del ayer
Y no me dejes cicatrices en el alma
Que me recuerden que algún día me enamore"
