Título,Reseña,Género,id
Return of the Living Dead: Rave to the Grave,"Un estudiante universitario crea y vende en el campus una droga llamada 'Z' que resucita a los muertos vivientes, quienes siembran el caos en una fiesta rave de Halloween.",Horror,id_130
Sahara,"Para un aventurero submarino intrépido y su ingenioso compañero, explorar las profundidades del océano en busca de tesoros naufragados es algo habitual. Pero cuando se cruzan con una bella doctora, se ven inmersos en la búsqueda del tesoro definitiva.",Acción,id_131
Hotel Transylvania: Puppy!,Los residentes del Hotel Transylvania ven su mundo patas arriba cuando el joven Dennis recibe una mascota sorpresa de tamaño monstruoso.,Familia,id_132
Skiptrace,Un detective de Hong Kong se une a un jugador estadounidense para luchar contra un conocido criminal chino.,Acción,id_133
Case Closed: Countdown to Heaven,"Mientras dos rascacielos en Tokio se preparan para su gran inauguración, se produce una serie de asesinatos de personas relacionadas con ellos. Conan sospecha que el misterioso Sindicato también podría estar involucrado.",Delito,id_134
Going in Style,"Desesperados por pagar las facturas y ayudar a sus seres queridos, tres amigos de toda la vida lo arriesgan todo embarcándose en un audaz plan para atracar al mismo banco que se fugó con su dinero.",Delito,id_135
John Wick: Chapter 3 - Parabellum,"El superasesino John Wick regresa con una recompensa de 14 millones de dólares por su cabeza y un ejército de sicarios pisándole los talones. Tras asesinar a un miembro de la misteriosa organización internacional de asesinos, la Alta Mesa, John Wick es excomulgado, pero los sicarios más despiadados del mundo lo acechan a cada paso.",Acción,id_136
The Golden Child,"Tras el secuestro de un niño tibetano, el místico Niño Dorado, por el malvado Sardo Numspa, el destino de la humanidad pende de un hilo. Al otro lado del mundo, en Los Ángeles, la sacerdotisa Kee Nang busca al Elegido, quien salvará al niño de la muerte. Cuando Nang ve al trabajador social Chandler Jarrell en televisión hablando sobre su habilidad para encontrar niños desaparecidos, solicita su ayuda, a pesar del escepticismo de este sobre ser el ""elegido"".",Acción,id_137
Son of Batman,"Batman descubre que tiene un hijo preadolescente violento e indisciplinado, criado en secreto por el grupo terrorista conocido como la Liga de los Asesinos.",Animación,id_138
Leap Year,"Cuando pasa otro aniversario sin que su novio le proponga matrimonio, Anna decide tomar cartas en el asunto. Conociendo una tradición celta que permite a las mujeres pedir matrimonio el 29 de febrero, planea seguir a su amado a Dublín y pedirle que se case con ella. Sin embargo, el destino tiene otros planes, y Anna termina al otro lado de la Isla Esmeralda con el apuesto, aunque hosco, Declan, un irlandés que tal vez la guíe hacia el verdadero amor.",romance,id_139
The Karate Kid,"Tras algunos enfrentamientos violentos con sus nuevos compañeros de clase, Daniel LaRusso aprende kárate del manitas japonés Sr. Miyagi para poder defenderse.",Acción,id_140
At Eternity's Gate,"El célebre pero atormentado artista Vincent van Gogh pasó sus últimos años en Arles, Francia, pintando obras maestras del mundo natural que lo rodeaba.",Drama,id_141
Jurassic Galaxy,"En un futuro cercano, una nave de exploradores espaciales se estrella en un planeta desconocido. Pronto se enfrentan a algunos de sus peores temores al descubrir que el planeta está habitado por monstruosos dinosaurios.",Ciencia ficción,id_142
Stuart Little,"Las aventuras de un ratón valiente, heroico y elegante llamado Stuart Little, con cualidades humanas, que se enfrenta a divertidas desventuras mientras busca a su amigo pájaro perdido y vive con una familia humana como si fuera su hijo.",Familia,id_143
Kung Fu Panda: Secrets of the Scroll,"Mientras Po busca sus figuras de acción perdidas, se narra la historia de cómo el panda, sin quererlo, ayudó a crear a los Cinco Furiosos.",Animación,id_144
Jarhead 2: Field of Fire,"Marcado por la guerra y desilusionado, el cabo Chris Merrimette queda al mando de una unidad cuya próxima misión es reabastecer un puesto de avanzada remoto en los límites del territorio controlado por los talibanes. Mientras atraviesan la hostil provincia de Helmand, un SEAL de la Armada detiene su convoy y recluta a la unidad para una operación de importancia internacional: deben ayudar a una mujer afgana, famosa por su desafío a los talibanes, a escapar del país. Sin tanques ni apoyo aéreo, Merrimette y su equipo necesitarán todo el coraje y la potencia de fuego que puedan reunir para abrirse paso a través del país devastado por la guerra y llevar a la mujer a un lugar seguro.",Guerra,id_145
The Wolverine,"Wolverine se enfrenta a su archienemigo, y pone a prueba sus límites físicos, emocionales y mortales, en un viaje que le cambiará la vida al Japón actual.",Acción,id_146
My Neighbor Totoro,"Dos hermanas se mudan al campo con su padre para estar más cerca de su madre, que está hospitalizada, y descubren que los árboles de los alrededores están habitados por Totoros, espíritus mágicos del bosque. Cuando la menor se escapa de casa, la mayor pide ayuda a los espíritus para encontrarla.",Fantasía,id_147
Harry Potter and the Goblet of Fire,"Cuando el nombre de Harry Potter emerge del Cáliz de Fuego, se convierte en competidor en una extenuante batalla por la gloria entre tres escuelas de magia: el Torneo de los Tres Magos. Pero como Harry nunca presentó su nombre para el Torneo, ¿quién lo hizo? Ahora Harry debe enfrentarse a un dragón mortal, feroces demonios acuáticos y un laberinto encantado, solo para encontrarse en las crueles garras de Quien No Debe Ser Nombrado.",Aventura,id_148
Re-Animator,Un estudiante aplicado de una facultad de medicina y su novia se ven envueltos en experimentos extraños centrados en la reanimación de tejido muerto cuando un nuevo y peculiar estudiante llega al campus.,Ciencia ficción,id_149
¡Qué Despadre!,"Pedro es un soltero de cuarenta y tantos años al que le gusta la fiesta, no tiene hijos y vive de noche. Todo cambia cuando conoce a Alin. Ella le comenta que está buscando a su padre y que hay muchas probabilidades de que sea él.",Comedia,id_150
Once Upon a Time in Mexico,"El sicario ""El Mariachi"" se ve envuelto en una trama de espionaje internacional que involucra a un agente psicótico de la CIA y a un general mexicano corrupto.",Acción,id_151
Tall Girl,"Jodi, la chica más alta de su instituto, siempre se ha sentido incómoda consigo misma. Pero después de años de encorvarse, sufrir burlas y evitar llamar la atención a toda costa, Jodi finalmente decide encontrar la confianza para mantenerse erguida.",Comedia,id_152
Red Rocket,"En una situación desesperada en Los Ángeles, el ex actor porno Mikey Saber decide regresar a su ciudad natal, Texas City, donde viven su esposa y su suegra, de quien está separado. Justo cuando esta familia disfuncional parece estar recomponiéndose, Mikey conoce a una joven llamada Strawberry que trabaja como cajera en una tienda de donas local.",Comedia,id_153
Clash of the Titans,"Nacido como un dios pero criado como un hombre, Perseo es incapaz de salvar a su familia de Hades, el vengativo dios del inframundo. Sin nada que perder, Perseo se ofrece voluntario para liderar una peligrosa misión: derrotar a Hades antes de que este pueda arrebatarle el poder a Zeus y desatar el infierno en la Tierra. Luchando contra demonios impíos y bestias temibles, Perseo y sus guerreros solo sobrevivirán si Perseo acepta su poder divino, desafía al destino y forja su propio futuro.",Aventura,id_154
Cop Out,"Los detectives Jimmy y Paul, a pesar de llevar nueve años trabajando juntos, a veces parecen polos opuestos, sobre todo cuando las impredecibles payasadas de Paul provocan que los suspendan sin sueldo. Con problemas económicos y tratando de pagar la boda de su hija, Jimmy decide vender una tarjeta de béisbol rara que vale decenas de miles de dólares. Desafortunadamente, cuando roban la tienda del coleccionista y la tarjeta desaparece con el ladrón, Paul y Jimmy terminan actuando por su cuenta, rastreando la tarjeta y la red de narcotráfico detrás del robo, todo por su cuenta y sin ningún tipo de apoyo, excepto el uno del otro.",Acción,id_155
Seven Days in May,Un coronel del ejército estadounidense alerta al presidente sobre un golpe militar planeado en su contra.,Drama,id_156
Cold Eyes,"HA Yoon-ju se convierte en la nueva integrante de una unidad del Departamento de Delitos Especiales de la Policía de Corea, especializada en la vigilancia de criminales de alto perfil. Se une a HWANG Sang-Jun, el veterano líder de la unidad, e intenta localizar a James, el despiadado líder de una organización criminal armada.",Delito,id_157
The Conquest of Siberia,"Iván Demarin, un joven oficial de la nueva guardia de Pedro I, obedece las órdenes del zar y se dirige a la ciudad fronteriza de Tobolsk, en lo profundo de la selva siberiana. Allí, Iván se enamora por primera vez y, junto con su regimiento, se ve envuelto en una conspiración de príncipes locales que buscan oro en la ciudad de Yarkand. Su fortaleza está rodeada por hordas de salvajes dzungaros y no hay nadie a quien pedir ayuda…",Historia,id_158
Kill Bill: The Whole Bloody Affair,"Una asesina es baleada y casi asesinada por su despiadado jefe, Bill, y otros miembros de su grupo de sicarios, pero sobrevive para planear su venganza. Kill Bill: The Whole Bloody Affair es una edición completa de las dos películas de acción y artes marciales Kill Bill: Vol. 1 y Kill Bill: Vol. 2. Originalmente, la película iba a estrenarse como una sola parte. Sin embargo, debido a su duración de más de cuatro horas, se dividió en dos partes.",Acción,id_159
P.S. I Love You,Una joven viuda descubre que su difunto esposo le ha dejado 10 mensajes destinados a ayudarla a aliviar su dolor y comenzar una nueva vida.,Drama,id_160
The Porno Killers,"Un negocio internacional de drogas sale mal, y dos sicarias neoyorquinas son enviadas a Roma, Italia, para recuperar el dinero desaparecido. Incluso antes de partir, las chicas (Carmen Russo y Cintia Lodetti) tienen una fiesta junto a la piscina con dos jóvenes, y al llegar a su hotel en Roma, comparten una ducha y un momento íntimo. En la playa, cruzan miradas con dos gigolós italianos, y luego usan técnicas de judo y lucha libre para dominarlos e imponer su supremacía feminista. Finalmente, estarán cerca del dinero, pero su misión se facilita porque los hombres más importantes se pelean entre sí por él (Vassili Karis y Mario Cutini).",Delito,id_161
One Crazy Summer: A Look Back at Gravity Falls,"Un vistazo entre bastidores a la creación de Gravity Falls, con entrevistas a numerosos miembros del reparto y del equipo técnico.",Documental,id_162
Flags of Our Fathers,"Cinco infantes de marina y un médico de la Armada fueron fotografiados izando la bandera estadounidense en el monte Suribachi por Joe Rosenthal el 23 de febrero de 1945. Esta es la historia de tres de los seis militares supervivientes —John 'Doc' Bradley, el soldado raso Rene Gagnon y el soldado raso Ira Hayes— que lucharon en la batalla para arrebatar Iwo Jima a los japoneses.",Guerra,id_163
Oslo,"La verdadera historia de las negociaciones entre enemigos implacables: las conversaciones secretas a través de canales alternativos, las improbables amistades y los actos heroicos y silenciosos de un pequeño pero comprometido grupo de israelíes, palestinos y una pareja noruega que condujeron a los Acuerdos de Paz de Oslo de 1993.",Película para televisión,id_164
Your Name.,"Mitsuha y Taki, estudiantes de secundaria, son completos desconocidos que viven vidas separadas. Pero una noche, de repente, intercambian cuerpos. Mitsuha despierta en el cuerpo de Taki, y él en el de ella. Este extraño suceso se repite de forma aleatoria, y ambos deben adaptar sus vidas a la convivencia.",romance,id_165
Monster Hunt 2,"La secuela de Monster Hunt. Ambientada en un mundo donde monstruos y humanos coexisten, la franquicia narra la historia de Wuba, un pequeño monstruo nacido para ser rey. Wuba se convierte en la figura central para detener una guerra civil total entre monstruos.",Aventura,id_166
The Red Thread,"Siete años después de su primer encuentro apasionado, Abril y Manuel se reencuentran. A pesar de que ambos están casados, pronto se hace evidente que su atracción no ha hecho más que crecer.",Drama,id_167
Assassins,"El asesino a sueldo Robert Rath llega a un funeral para matar a un importante mafioso, solo para presenciar cómo un sicario rival completa el trabajo por él, con resultados espantosos. Horrorizado por el asesinato de inocentes, Rath decide aceptar un último encargo y luego regresar a la vida civil. Pero salir del mundo de los asesinatos por encargo se vuelve cada vez más peligroso cuando Rath se enamora de su objetivo y se convierte él mismo en un hombre marcado.",Acción,id_168
"Me, Myself & Irene","El agente de la policía estatal de Rhode Island, Charlie Baileygates, padece un trastorno de personalidad múltiple. Una de sus personalidades es agresiva y desquiciada, mientras que la otra es más amigable y tranquila. Ambas personalidades se enamoran de la misma mujer, Irene, después de que Charlie pierde su medicación.",Comedia,id_169
Lion,"Un niño indio de cinco años se pierde en las calles de Calcuta, a miles de kilómetros de su hogar. Sobrevive a numerosas dificultades antes de ser adoptado por una pareja en Australia; 25 años después, emprende la búsqueda de su familia perdida.",Drama,id_170
Fantastic Beasts: The Crimes of Grindelwald,"Gellert Grindelwald ha escapado de prisión y ha comenzado a reunir seguidores para su causa: elevar a los magos por encima de todos los seres no mágicos. El único capaz de detenerlo es el mago al que una vez llamó su mejor amigo, Albus Dumbledore. Sin embargo, Dumbledore necesitará la ayuda del mago que ya frustró los planes de Grindelwald en el pasado, su antiguo alumno Newt Scamander, quien acepta ayudarlo, sin ser consciente de los peligros que le aguardan. Se trazan líneas divisorias mientras el amor y la lealtad se ponen a prueba, incluso entre los amigos y familiares más fieles, en un mundo mágico cada vez más dividido.",Aventura,id_171
Dunkirk,"La historia de la milagrosa evacuación de los soldados aliados de Bélgica, Gran Bretaña, Canadá y Francia, que quedaron aislados y rodeados por el ejército alemán en las playas y el puerto de Dunkerque entre el 26 de mayo y el 4 de junio de 1940 durante la Segunda Guerra Mundial.",Guerra,id_172
Cyborg She,"Cyborg She narra el incipiente romance entre un estudiante universitario común y corriente y su descarada enamorada, una cyborg viajera del tiempo con superpoderes. Un día, una hermosa cyborg aparece ante él. Aunque la cyborg empieza a sentir algo por él, no puede experimentar emociones reales, así que el chico no tiene más remedio que despedirse. Extrañándola, continúa su solitaria existencia. Un día, un devastador terremoto azota Tokio y la cyborg le salva la vida. En ese instante, ella comienza a sentir como un ser humano de verdad.",Acción,id_173
John Carter,"John Carter es un excapitán militar, hastiado de la guerra, que es transportado inexplicablemente al misterioso y exótico planeta Barsoom (Marte) y, a su pesar, se ve envuelto en un conflicto épico. Es un mundo al borde del colapso, y Carter redescubre su humanidad cuando comprende que la supervivencia de Barsoom y su gente está en sus manos.",Acción,id_174
Shimmer Lake,"Filmada en orden inverso, día a día, a lo largo de una semana, la historia sigue a un sheriff local que se embarca en una búsqueda para desentrañar el misterio de tres delincuentes de un pequeño pueblo y un atraco bancario que salió mal.",Suspenso,id_175
Black Box,"Matthieu es un joven y talentoso analista de cajas negras con la misión de resolver la causa del fatal accidente de un avión nuevo. Sin embargo, cuando las autoridades cierran el caso, Matthieu no puede evitar sentir que algo falla en las pruebas. Al escuchar las grabaciones nuevamente, comienza a detectar detalles sumamente inquietantes. ¿Podría haber sido manipulada la cinta? Desobedeciendo las órdenes de su jefe, Matthieu inicia su propia investigación clandestina: una búsqueda obsesiva y peligrosa de la verdad que pronto pondrá en peligro mucho más que su carrera...",Misterio,id_176
The Legend of Bagger Vance,"La Primera Guerra Mundial convirtió al golfista Rannulph Junuh en un alcohólico aficionado al póker, y le arrebató su swing perfecto. Ahora, sin embargo, necesita recuperarlo para participar en un torneo y salvar el campo de golf, arruinado económicamente, de un antiguo amor. La ayuda llega en la figura del misterioso caddie Bagger Vance.",Drama,id_177
The Maid,Un adolescente con problemas emocionales inicia una relación apasionada con la mujer francesa mayor que trabaja en la casa de su padre.,romance,id_178
Wolves,"La historia de iniciación de Cayden Richards. Obligado a huir tras el asesinato de sus padres, Cayden vaga perdido sin rumbo... Hasta que conoce a un auténtico lunático llamado Wild Joe, quien lo guía hacia el siniestro pueblo de Lupine Ridge para desentrañar la verdad sobre su pasado. Pero al final, ¿quién persigue a quién?",Horror,id_179
Joint Security Area,"Tras un tiroteo en la frontera entre Corea del Norte y Corea del Sur, en la zona desmilitarizada, en el que murieron dos soldados norcoreanos, un equipo neutral suizo/sueco investiga lo sucedido.",Guerra,id_180
"Secretly, Greatly","Como agente de una célula durmiente norcoreana, Ryu-han se infiltra en el Sur y se hace pasar por el tonto del pueblo. Observa a los habitantes y espera pacientemente su misión. Un día, tras dos años interpretando ese papel, sus compañeros espías de élite, Hae-rang (haciéndose pasar por una estrella de rock) y Hae-jin (haciéndose pasar por un estudiante común), son enviados al mismo pueblo que Ryu-han. Él ayuda a los otros dos espías a instalarse y les enseña a adaptarse a la vida en el Sur. De repente, se produce un drástico cambio en el poder político del Norte y los tres espías reciben una misión urgente y crucial.",Acción,id_181
Romeo and Juliet,"La aclamada versión del director Franco Zeffirelli de una de las historias de amor más conocidas en lengua inglesa. Romeo Montesco y Julieta Capuleto se enamoran a pesar de la enemistad entre sus familias. Impulsados ​​por la pasión, los jóvenes amantes desafían su destino y se fugan, solo para sufrir la tragedia definitiva.",Drama,id_182
Top Secret!,"El popular y apuesto cantante estadounidense Nick Rivers viaja a Alemania Oriental para actuar en un festival de música. Cuando se enamora perdidamente de la bella Hillary Flammond, se ve envuelto en un movimiento de resistencia clandestino. Rivers une fuerzas con el agente Cedric y Flammond para intentar rescatar al padre de ella, el Dr. Paul, de las manos de los alemanes, quienes han capturado al científico con la intención de obligarlo a construir una nueva mina naval.",Comedia,id_183
Faust,"Dios y Satanás libran una guerra por la tierra; para dirimir la disputa, apuestan por el alma de Fausto, un alquimista erudito y devoto.",Drama,id_184
Streets of Fire,"Raven Shaddock y su banda de despiadados amigos motociclistas secuestran a la cantante de rock Ellen Aim. El ex amante de Ellen, el mercenario Tom Cody, se encuentra de paso por la ciudad. Para salvar a su estrella, el representante de Ellen contrata a Tom para rescatarla. Junto con un exsoldado, se abren paso a través de peligrosos paisajes urbanos, decididos a recuperar a Ellen.",Acción,id_185
The Return of the Texas Chainsaw Massacre,"Leatherface, el psicópata favorito de todos con su motosierra, regresa para sembrar el terror en la noche del baile de graduación, y esta vez lo acompaña su sanguinaria familia. Cuatro adolescentes despreocupados y sin rumbo son acogidos por una familia de la zona rural, ajenos a sus macabros hábitos. Los jóvenes, aterrorizados, entre ellos la dulce Jenny, intentan escapar de Leatherface y su clan enloquecido, incluido el biónico Vilmer.",Horror,id_186
Semen Demon,"La sensual Reiko Yamaguchi, estrella de las exitosas películas japonesas ""La esposa de al lado"", está de vuelta, ¡y esta vez necesita un exorcista! ¿Está su nuevo marido poseído por un demonio o es simplemente un pervertido? ¿Y qué pasa con su suegro y su insaciable deseo por Reiko? Definitivamente algo anda mal en la familia de Reiko, ¡y solo un exorcista puede ayudarla! Akira Fukamachi dirige esta atrevida versión del exorcismo.",Horror,id_187
The Thirteenth Floor,"Los Ángeles. Un hombre adinerado, conocido como el Sr. Fuller, descubre un secreto impactante sobre el mundo en el que vive. Temiendo por su vida, deja un mensaje desesperado para un amigo en el lugar más inesperado.",Suspenso,id_188
Manhunt,"Acusado de un asesinato que no cometió, un fiscal se embarca en una misión para limpiar su nombre.",Acción,id_189
An Inconvenient Truth,Un documental sobre la campaña de Al Gore para lograr que el problema del calentamiento global sea reconocido a nivel mundial.,Documental,id_190
The Nice Guys,Un detective privado investiga el aparente suicidio de una estrella porno en decadencia en Los Ángeles de los años 70 y descubre una conspiración.,Comedia,id_191
Good on Paper,"Tras años anteponiendo su carrera al amor, la comediante Andrea Singer ha encontrado al hombre perfecto. En teoría, cumple con todos los requisitos, pero ¿es realmente como aparenta?",Comedia,id_192
Super Troopers,"Cinco policías estatales de Vermont, aburridos, a veces drogados y siempre ineficaces, deben demostrar su valía al gobernador o perderán sus empleos. Tras descubrir una red de narcotráfico, planean una redada, pero una fuerza policial rival quiere robarles el protagonismo.",Comedia,id_193
Becky,El fin de semana que una adolescente pasaba con su padre en una casa junto a un lago da un giro inesperado cuando un grupo de convictos siembra el caos en sus vidas.,Suspenso,id_194
Who's Harry Crumb?,"Harry Crumb es un detective privado torpe e inepto que es contratado para resolver el secuestro de una joven heredera, un caso que no se espera que resuelva porque su empleador es el cerebro detrás del secuestro.",Comedia,id_195
The Evil Dead,"Cuando un grupo de estudiantes universitarios encuentra un libro misterioso y una grabación en la vieja cabaña en medio del bosque que han alquilado para el fin de semana, desatan sin saberlo una fuerza demoníaca del bosque circundante.",Horror,id_196
The Great Beauty,"Jep Gambardella ha seducido a sus clientes en la ostentosa vida nocturna de Roma durante décadas, pero tras cumplir 65 años y sufrir una conmoción del pasado, Jep mira más allá de los clubes nocturnos y las fiestas para descubrir un paisaje atemporal de una belleza absurda y exquisita.",Drama,id_197
Madame Bovary,"La clásica historia de Emma Bovary, la bella esposa de un médico de un pequeño pueblo de la Francia del siglo XIX, que se involucra en aventuras extramatrimoniales en un intento por mejorar su estatus social.",Drama,id_198
Buddha 2: The Endless Journey,"Hace 2500 años, en la India, Siddhartha nació como príncipe del clan Shakya, pero renunció a su posición para recorrer el mundo. Allí conoció a un extraño muchacho llamado Assaji, que podía predecir el futuro, a un monje tuerto y a Depa. Siddhartha continuó su viaje, conmovido por el sufrimiento que presenciaba. Mientras tanto, el príncipe Ruri de Kosara inició su ataque contra el clan Shakya. Segunda película sobre Buda de Tezuka Productions.",Animación,id_199
Danton,"Danton y Robespierre eran amigos íntimos y lucharon juntos en la Revolución Francesa, pero en 1793 Robespierre se convirtió en el gobernante de Francia, decidido a aniquilar la oposición con una serie de ejecuciones masivas que se conocieron como el Reinado del Terror. Danton, conocido como portavoz del pueblo, había vivido relativamente solo en el campo francés, pero regresó a París para desafiar el violento régimen de Robespierre y exigir al pueblo que reclamara sus derechos. Robespierre, sin embargo, no pudo aceptar tal desafío, ni siquiera de un amigo y colega, y frustró un plan para capturar y ejecutar a Danton y sus aliados.",Drama,id_200
A Quiet Place,Una familia se ve obligada a vivir en silencio mientras se esconde de criaturas que cazan guiándose por el sonido.,Horror,id_201
The Deaths of Ian Stone,"Deaths narra la historia de un estadounidense común y corriente que es asesinado cada día por perseguidores aterradores, solo para despertar en vidas ligeramente diferentes y experimentar el terror de ser asesinado de nuevo.",Horror,id_202
Monster High: Why Do Ghouls Fall in Love?,"¡El cumpleaños número 1600 de Draculaura es una ocasión muy especial para celebrar en Monster High! Pero sus altas expectativas la llevan a resultados fatales cuando se enfrenta a la elección entre su práctico novio Clawd y el nuevo galán vampiro, Valentine, un amor platónico de su pasado. Sus amigas monstruosas encuentran extraño que Valentine haya creado un día festivo en su honor, pero curiosamente le haya puesto su propio nombre (¡qué romántico!), y tienen que detenerlo antes de que le robe el corazón... literalmente. ¡Draculaura debe decidir qué chico es el indicado para ella antes de la fiesta! ¿Descubrirá el siniestro plan de Valentine? ¿Podrán sus mejores amigas monstruosas ayudarla a tiempo? Y lo más importante... ¿aprobará Draculaura su examen de conducir?",Fantasía,id_203
Papillon,"Un hombre entabla amistad con otro delincuente mientras ambos comienzan a cumplir su condena en una terrible isla prisión, lo que inspira al hombre a planear su fuga.",Delito,id_204
The Lady Vanishes,"En un tren con destino a Inglaterra, un grupo de viajeros sufre un retraso debido a una avalancha. Refugiada en un hotel de un país europeo ficticio, la joven Iris entabla amistad con la anciana señorita Froy. Cuando el tren reanuda su marcha, Iris pierde el conocimiento y al despertar descubre que la anciana ha desaparecido. Los demás pasajeros niegan rotundamente la existencia de la señorita Froy, por lo que Iris comienza a investigar con otro viajero y, mientras ambos investigan, surge el romance.",Misterio,id_205
The Gruffalo,"El mágico cuento de un ratón que se adentra en el bosque en busca de una nuez. Al encontrarse con depredadores que desean devorarlo —un zorro, un búho y una serpiente—, el valiente ratón crea un monstruo imaginario y aterrador para ahuyentarlos. Pero, ¿qué hará el ratón cuando se encuentre de verdad con este monstruo espantoso?",Animación,id_206
Jaws 2,El jefe de policía Brody debe proteger a los ciudadanos de Amity después de que un segundo tiburón monstruoso comience a aterrorizar las aguas.,Horror,id_207
In the Heat of the Night,Se le pide a un detective afroamericano que investigue un asesinato en un pueblo racista del sur de Estados Unidos.,Delito,id_208
Ice Age: A Mammoth Christmas,"Cuando Sid destruye accidentalmente la preciada piedra navideña de Manny y termina en la lista de los niños malos de Santa Claus, emprende una divertida aventura al Polo Norte para arreglar las cosas, pero termina empeorándolas aún más. ¡Ahora le toca a Manny y a su pandilla prehistórica unirse y salvar la Navidad para todo el mundo!",Animación,id_209
Nymphomaniac: Vol. II,"La continuación de la vida de Joe, marcada por las presiones sexuales, profundiza en los aspectos más oscuros de su vida adulta y en lo que la llevó a quedar al cuidado de Seligman.",Drama,id_210
Beautiful Teacher in Torture Hell,Roman Porno de 1985. Un joven profesor parte para impartir clases de esgrima en una escuela del campo.,Horror,id_211
The Patriot,"Un virus mortal amenaza con arrasar un pueblo entero en las Montañas Rocosas, obligando al médico local a encontrar la manera de escapar de los soldados que imponen la cuarentena y a idear un antídoto. La situación se complica aún más cuando el médico es capturado por un grupo de milicianos extremistas peligrosamente inestables.",Acción,id_212
Enemy at the Gates,Un francotirador ruso y otro alemán juegan al gato y al ratón durante la batalla de Stalingrado en la Segunda Guerra Mundial.,Drama,id_213
King Kong,"En Nueva York, en 1933, un productor de cine demasiado ambicioso obliga a su reparto y a la tripulación de un barco contratado a viajar a la misteriosa Isla Calavera, donde se encuentran con Kong, un simio gigante que queda inmediatamente prendado de la actriz principal.",Aventura,id_214
Planet Terror,"Dos médicos descubren que su turno de noche está repleto de habitantes del pueblo con llagas. Entre los heridos se encuentra Cherry, una bailarina a la que le han arrancado una pierna. A medida que los inválidos se convierten rápidamente en agresores enfurecidos, Cherry y su exnovio Wray lideran un grupo de guerreros improvisados ​​en la noche.",Horror,id_215
Once Upon a Time in China III,"El maestro Wong y sus discípulos se inscriben en la ""Competencia del León Danzante"" para detener un complot de asesinato y luchar contra un oponente arrogante y engañoso.",Acción,id_216
Skyfall,"Cuando la última misión de Bond sale terriblemente mal y agentes de todo el mundo quedan al descubierto, el MI6 sufre un ataque, lo que obliga a M a reubicar la agencia. Estos acontecimientos provocan que Gareth Mallory, el nuevo presidente del Comité de Inteligencia y Seguridad, cuestione su autoridad y posición. Con el MI6 comprometido tanto interna como externamente, a M solo le queda un aliado de confianza: Bond. 007 se adentra en las sombras —ayudado únicamente por la agente de campo Eve— siguiendo la pista del misterioso Silva, cuyos letales y ocultos motivos aún no se han revelado.",Acción,id_217
True Crime,"Alcohólico, mujeriego, padre irresponsable. Podrías hacer tu propia lista de defectos del reportero Steve Everett, pero no hay tiempo. Un preso del corredor de la muerte de San Quentin está programado para morir a medianoche; un hombre del que Everett se ha dado cuenta de repente que es inocente.",Delito,id_218
Alvin and the Chipmunks: Chipwrecked,"Mientras jugaban a bordo de un crucero, las Ardillas y las Chipettes caen accidentalmente por la borda y terminan varadas en un paraíso tropical. Descubren que su nuevo hogar no está tan desierto como parecía.",Comedia,id_219
Dr. Strange,Un psiquiatra se convierte en el nuevo Hechicero Supremo de la Tierra para luchar contra una malvada Hechicera del pasado.,Película para televisión,id_220
The Grandmother,"Una modelo parisina debe regresar a Madrid, donde su abuela, quien la crió, ha sufrido un derrame cerebral. Pero pasar tan solo unos días con esta pariente se convierte en una pesadilla inesperada.",Horror,id_221
Demon Slayer,"Cinco adolescentes problemáticos reciben la tarea de convertir un hospital psiquiátrico abandonado en el sur de Los Ángeles en un centro comunitario. Lo que no saben es que el hospital ha sido escenario de siglos de caos sobrenatural y asesinatos. Acosados ​​por terrores inimaginables, los adolescentes deben luchar por sobrevivir en una batalla donde la línea entre los vivos y los muertos se desdibuja.",Comedia,id_222
Pitch Perfect,"Beca, estudiante universitaria, sabe que no quiere pertenecer a ningún grupo, pero justo ahí es donde se encuentra al llegar a su nueva universidad. Rodeada de chicas malas, chicas buenas y chicas simplemente raras, Beca descubre que lo único que tienen en común es lo bien que cantan juntas. Las saca de su zona de confort, de los arreglos tradicionales, y las introduce en un mundo de increíbles combinaciones armónicas en su lucha por alcanzar la cima de las competiciones musicales universitarias.",Comedia,id_223
A Cinderella Story: If the Shoe Fits,Una versión musical contemporánea del clásico cuento de Cenicienta en la que la hijastra sirvienta sueña con competir en un concurso musical para convertirse en una famosa estrella del pop.,Comedia,id_224
Boa vs. Python,"Después de que un empresario demasiado ambicioso transporta una pitón de 24 metros a Estados Unidos, la bestia escapa y comienza a dejar un rastro de víctimas humanas. Un agente del FBI y un especialista en serpientes idean un plan para combatir a la criatura enfrentándola a una boa constrictor de 21 metros modificada genéticamente. ¡Dos grandes serpientes que juntas son formidables!",Horror,id_225
Naruto: Guardians of the Crescent Moon Kingdom,"Naruto Uzumaki, Kakashi Hatake, Sakura Haruno y Rock Lee son asignados para proteger al príncipe del País de la Luna, Michiru, durante su viaje alrededor del mundo. Otros escoltas habían sido contratados, pero renunciaron debido al maltrato recibido. El País de la Luna es una nación muy rica, por lo que Michiru tiende a comprar todo lo que desea y tiene una visión del mundo muy materialista. Su esposa, Hikaru, actúa de manera muy similar.",Aventura,id_226
